symbol,company,price,target_price,upside,analyst_count,buy_percentage,total_ratings,A,EXRET,beta,pe_trailing,pe_forward,peg_ratio,dividend_yield,short_float_pct,insider_buy_pct,insider_transactions,last_earnings,exchange
0001.HK,CK Hutchison Holdings Limited,38.85,54.11429,39.29032175032175,7.0,85.71,7.0,A,33.67573477220077,0.854,6.6183987,5.495049,0.5894,6.34,,,,,HK
0002.HK,CLP HOLDINGS,64.45,73.462,13.982932505818455,10.0,70.0,10.0,A,9.78805275407292,0.569,13.860214,12.838645,3.2456,7.82,,,,2025-02-24,HK
0003.HK,HK & CHINA GAS,6.2,6.641,7.112903225806444,10.0,50.0,10.0,A,3.5564516129032224,0.575,21.37931,17.222221,,5.65,,,,,HK
0006.HK,POWER ASSETS,52.7,58.62778,11.24815939278938,9.0,77.78,9.0,A,8.748818375711581,0.594,18.55634,17.508307,3.4454,5.35,,,,,HK
0011.HK,HANG SENG BANK,109.0,100.51333,-7.785935779816522,12.0,16.67,12.0,A,-1.2979154944954143,0.486,11.682744,12.274775,2.8713,11.74,,,,2025-02-19,HK
0012.HK,HENDERSON LAND,21.25,25.27143,18.92437647058822,14.0,57.14,14.0,A,10.813388715294108,0.975,15.858209,10.023585,0.5772,8.47,,,,,HK
0016.HK,SHK PPT,72.8,91.32,25.43956043956044,15.0,80.0,15.0,A,20.35164835164835,0.494,12.113145,8.625593,0.4863,5.15,,,,2025-02-27,HK
0017.HK,NEW WORLD DEV,4.82,5.04688,4.707053941908712,16.0,12.5,16.0,A,0.588381742738589,0.61,,10.711112,,8.3,,,,2025-02-28,HK
0019.HK,SWIRE PACIFIC A,64.55,75.43125,16.857087529047266,8.0,75.0,8.0,A,12.64281564678545,0.849,3.2617483,8.549669,,5.03,,,,,HK
0027.HK,GALAXY ENT,31.9,44.8381,40.55830721003135,21.0,95.24,21.0,A,38.627731786833856,0.769,15.95,14.7685175,0.4774,3.26,,,,2025-02-27,HK
0066.HK,MTR CORPORATION,25.4,28.15417,10.84318897637797,12.0,58.33,12.0,A,6.324832129921269,0.479,16.387096,9.338235,0.7686,5.16,,,,,HK
0083.HK,SINO LAND,7.79,9.49769,21.92156611039795,13.0,84.62,13.0,A,18.55002924261875,0.448,18.547619,12.171875,,7.45,,,,2025-02-26,HK
0135.HK,KUNLUN ENERGY,7.74,8.89014,14.859689922480634,14.0,82.35,17.0,A,12.2369546511628,0.696,10.901408,9.0,,6.22,,,,,HK
0151.HK,WANT WANT CHINA,4.69,5.492012,17.100469083155634,19.0,57.89,19.0,A,9.899461552238796,0.328,12.675675,11.166667,1.7161,5.49,,,,2024-11-25,HK
0175.HK,GEELY AUTO,17.54,19.66233,12.099942987457249,28.0,97.14,35.0,A,11.75388461801597,1.027,11.693334,16.091743,0.3787,1.25,,,,2024-11-14,HK
0241.HK,ALI HEALTH,5.01,4.943554,-1.3262674650698636,17.0,76.47,17.0,A,-1.0141967305389246,1.146,62.625004,29.470589,1.3311,,,,,2024-11-13,HK
0257.HK,EB ENVIRONMENT,3.29,4.24762,29.106990881458984,8.0,90.0,10.0,A,26.196291793313083,0.723,4.9104476,4.633803,,6.69,,,,,HK
0268.HK,KINGDEE INT'L,12.74,11.605036,-8.908665620094192,19.0,91.67,24.0,A,-8.166573773940346,1.03,,212.33333,,,,,,,HK
0285.HK,BYD ELECTRONIC,50.1,52.572426,4.934982035928148,18.0,100.0,20.0,A,4.934982035928148,0.509,25.95855,17.70318,,1.18,,,,,HK
0288.HK,WH GROUP,6.34,8.031977,26.68733438485804,14.0,100.0,14.0,A,26.68733438485804,0.291,8.805555,90.571434,0.8725,5.52,,,,2024-10-29,HK
0322.HK,TINGYI,11.32,12.214069,7.898136042402837,22.0,82.61,23.0,A,6.524650184628984,0.068,17.6875,14.894736,1.4369,2.63,,,,2024-08-26,HK
0341.HK,CAFE DE CORAL H,7.2,9.9675,38.43749999999999,4.0,75.0,4.0,A,28.828125,0.727,15.319149,9.473684,,7.92,,,,2024-11-28,HK
0384.HK,CHINA GAS HOLD,6.75,7.50933,11.249333333333333,15.0,55.56,18.0,A,6.2501296,0.93,11.637932,7.7586207,0.6344,7.41,,,,2024-11-29,HK
0386.HK,SINOPEC CORP,4.13,5.266471,27.51745762711866,16.0,70.59,17.0,A,19.424573338983063,0.624,7.9423084,7.2456145,2.4645,9.17,,,,2024-10-28,HK
0388.HK,HKEX,350.0,397.2,13.48571428571428,15.0,89.47,19.0,A,12.065668571428564,0.806,34.013607,32.894737,,2.41,,,,2025-02-27,HK
0390.HK,CHINA RAILWAY,3.83,5.130352,33.951749347258485,6.0,100.0,7.0,A,33.951749347258485,0.393,3.064,2.605442,,6.01,,,,,HK
0489.HK,DONGFENG GROUP,4.36,3.8513029,-11.667364678899094,9.0,33.33,9.0,A,-3.888732647477068,0.953,,39.636364,,2.51,,,,,HK
0656.HK,FOSUN INTL,4.4,7.496335,70.37125,3.0,60.0,5.0,A,42.222750000000005,0.78,44.0,4.731183,,0.86,,,,2024-08-28,HK
0669.HK,TECHTRONIC IND,108.4,121.873184,12.429136531365303,17.0,88.89,18.0,A,11.048259462730618,1.396,24.414415,19.288258,,1.99,,,,,HK
0688.HK,CHINA OVERSEAS,14.4,16.29611,13.167430555555535,18.0,83.33,24.0,A,10.972419881944427,0.201,6.575342,6.371681,0.9275,5.21,,,,,HK
0700.HK,TENCENT,478.6,530.504,10.844964479732557,44.0,96.0,50.0,A,10.411165900543253,0.504,28.086853,17.647491,0.7052,0.71,,,,2024-11-13,HK
0728.HK,CHINA TELECOM,5.84,6.0146985,2.991412671232885,13.0,93.33,15.0,A,2.791885446061652,,15.783784,13.904762,2.5616,4.81,,,,,HK
0753.HK,AIR CHINA,4.96,4.964126,0.0831854838709844,10.0,58.33,12.0,A,0.0485220927419452,0.534,,17.103449,,,,,,,HK
0762.HK,CHINA UNICOM,9.47,8.862052,-6.41972544878564,11.0,83.33,12.0,A,-5.349557216473074,0.679,13.338029,11.987342,4.1503,4.4,,,,2024-10-22,HK
0763.HK,ZTE,29.3,21.95577,-25.0656313993174,13.0,46.15,13.0,A,-11.56778889078498,0.493,14.019139,12.468085,,2.35,,,,2025-02-28,HK
0778.HK,FORTUNE REIT,4.19,4.9,16.945107398568027,4.0,100.0,4.0,A,16.945107398568027,0.751,,13.966666,,8.65,,,,2024-08-06,HK
0788.HK,CHINA TOWER,1.21,12.509785,933.86652892562,12.0,80.0,15.0,A,747.0932231404961,0.181,1.8615385,15.125001,,4.81,,,,2024-08-07,HK
0823.HK,LINK REIT,35.25,42.64688,20.98405673758865,16.0,93.75,16.0,A,19.672553191489364,0.824,,13.152985,,7.65,,,,2024-11-06,HK
