"ticker","company","cap","market_cap_formatted","price","target_price","upside","analyst_count","buy_percentage","total_ratings","A","EXRET","beta","pe_trailing","pe_forward","peg_ratio","dividend_yield","short_float_pct","short_interest_percent","short_interest","last_earnings"
"0001.HK","CK HUTCHISON HOLDINGS LIMITED","174B","174B","45.5","57.55","26.48351648351648","6","100.0","6","A","26.48351648351648","0.898","7.751278","6.435643","0.7","5.38","","","","2025-03-20"
"0027.HK","GALAXY ENT","148B","148B","33.75","44.57619","32.0776","21","95.24","21","A","30.550706239999997","0.814","16.875","15.624999","0.9","2.98","","","","2025-02-27"
"0083.HK","SINO LAND","72.1B","72.1B","8.0","9.49769","18.721125000000004","13","84.62","13","A","15.841815975000005","0.478","19.047619","12.5","","7.25","","","","2025-02-26"
"0257.HK","EB ENVIRONMENT","21.3B","21.3B","3.47","4.24762","22.409798270893376","8","90.0","10","A","20.16881844380404","0.725","5.1791043","4.8873243","","6.32","","","",""
"0390.HK","CHINA RAILWAY","147B","147B","4.08","5.162549","26.5330637254902","6","100.0","7","A","26.5330637254902","0.387","3.264","2.77551","","5.63","","","",""
"0669.HK","TECHTRONIC IND","179B","179B","97.65","127.056206","30.113882232462874","17","88.89","18","A","26.768229916436248","1.476","20.557896","17.375446","","2.4","","","","2025-03-04"
"0857.HK","PETROCHINA","1.50T","1.50T","6.04","7.8143296","29.376317880794687","17","88.89","18","A","26.112608964238397","0.702","6.357895","6.226804","","7.94","","","","2024-10-29"
"0992.HK","LENOVO GROUP","148B","148B","11.94","14.4474745","21.00062395309883","19","82.61","23","A","17.348615447654947","0.978","16.583332","10.954127","0.8","3.22","","","","2025-02-20"
"1177.HK","SINO BIOPHARM","66.4B","66.4B","3.65","4.5051527","23.428841095890405","23","96.0","25","A","22.49168745205479","0.75","28.076925","20.277777","1.1","1.65","","","","2025-03-20"
"1299.HK","AIA","680B","680B","63.8","91.648865","43.650258620689655","18","100.0","22","A","43.650258620689655","0.788","19.044777","13.291666","0.9","2.77","","","","2025-03-14"
"1928.HK","SANDS CHINA LTD","143B","143B","17.72","24.512495","38.33236455981943","20","95.24","21","A","36.50774400677202","0.919","17.72","10.804877","1.2","1.4","","","","2025-02-21"
"2313.HK","SHENZHOU INTERNATIONAL GROUP HOLDINGS LIMITED","91.2B","91.2B","60.7","89.248665","47.032397034596364","21","96.43","28","A","45.353340460461276","1.008","15.807292","12.541322","0.6","4.16","","","",""
"2318.HK","PING AN INSURANCE (GROUP) COMPANY OF CHINA, LTD.","1.00T","1.00T","51.3","61.61534","20.10787524366473","18","95.0","20","A","19.102481481481494","0.85","7.381295","5.97206","0.4","5.32","","","","2025-03-19"
"2386.HK","SINOPEC ENGINEERING (GROUP) CO., LTD.","24.8B","24.8B","5.57","6.7985253","22.056109515260314","6","100.0","7","A","22.056109515260314","0.615","9.283333","7.845071","","6.95","","","","2025-03-14"
"2883.HK","CHINA OILFIELD SERVICES LIMITED","58.3B","58.3B","6.68","10.246835","53.395733532934145","13","84.62","13","A","45.18346971556887","1.009","9.408451","6.423077","","3.46","","","","2024-10-29"
"2899.HK","ZIJIN MINING GROUP COMPANY LIMITED","515B","515B","18.32","21.473034","17.21088427947597","15","100.0","15","A","17.21088427947597","1.486","15.525424","11.594936","","1.82","","","",""
"3690.HK","MEITUAN","1.07T","1.07T","175.9","205.62306","16.897703240477547","37","95.12","41","A","16.073095322342244","0.548","46.906666","19.182116","1.0","","","","","2024-11-29"
"3908.HK","CHINA INTERNATIONAL CAPITAL CORPORATION LIMITED","144B","144B","16.3","19.75697","21.208404907975442","11","100.0","12","A","21.208404907975442","0.825","17.71739","10.516129","","1.81","","","","2024-10-30"
"9618.HK","JD.COM, INC.","537B","537B","175.6","203.98112","16.162369020501146","26","89.66","29","A","14.491180063781325","0.437","12.169092","9.616649","","2.21","","","","2025-03-06"
"AC.PA","ACCOR SA","11.2B","11.2B","45.34","54.24412","19.638553153947935","17","82.35","17","A","16.172348522276124","1.169","19.459229","18.356276","0.9","2.63","","","","2025-02-20"
"ACX.MC","ACERINOX, S.A.","2.84B","2.84B","11.41","13.72","20.24539877300613","15","93.33","15","A","18.89503067484662","1.232","12.677778","8.984252","","5.42","","","","2025-02-28"
"ADSK","AUTODESK, INC.","57.1B","57.1B","268.3","335.28967","24.968196049198642","30","81.81818181818183","11","E","20.428524040253436","1.509","52.402344","29.226578","1.5","","1.26","1.26","1.26","2025-02-26"
"AKE.PA","ARKEMA S.A.","6.16B","6.16B","81.35","102.8125","26.382913337430857","16","87.5","16","A","23.085049170252","1.221","18.11804","8.34359","0.5","4.34","","","","2025-02-27"
"ALM.MC","ALMIRALL, S.A.","2.22B","2.22B","10.41","12.24","17.579250720461093","10","100.0","10","A","17.579250720461093","0.365","208.2","22.630434","1.0","1.77","","","","2025-02-24"
"AMZN","AMAZON.COM, INC.","2.07T","2.07T","195.54","265.23767","35.64368927073745","64","85.0","20","E","30.29713588012683","1.192","34.855614","31.79512","1.6","","0.75","0.75","0.75","2025-02-05"
"AVGO","BROADCOM INC.","920B","920B","195.57","250.42111","28.04679143017845","36","100.0","7","E","28.04679143017845","1.03","90.96279","31.696922","0.5","1.25","1.39","1.39","1.39","2025-03-05"
"AZE.BR","AZELIS GROUP NV","4.52B","4.52B","18.58","25.39333","36.67023681377826","15","86.67","15","A","31.782094246501618","0.63","25.108109","16.156523","","1.24","","","","2025-03-06"
"BFST","BUSINESS FIRST BANCSHARES, INC.","0.74B","0.74B","24.89","32.7","31.37806347930896","5","100.0","5","A","31.378063479308956","1.035","11.013274","9.5","","2.28","0.7799999999999999","0.7799999999999999","0.7799999999999999","2025-01-22"
"BTC-USD","BTC-USD","--","--","0.0","0.0","0.0","0","0.0","0","","0.0","","","","","","","","",""
"C","CITIGROUP INC.","135B","135B","71.44","90.5","26.679731243001115","19","91.66666666666666","12","E","24.45642030608435","1.416","11.808265","9.936023","1.0","3.19","1.8099998999999998","1.8099998999999998","1.8099998999999998","2025-01-14"
"CDNS","CADENCE DESIGN SYSTEMS, INC.","70.9B","70.9B","258.7","317.84863","22.86379203710862","22","71.42857142857143","7","E","16.331280026506157","1.053","67.02073","37.766426","2.7","","1.7399999999999998","1.7399999999999998","1.7399999999999998","2025-02-17"
"CIE.MC","CIE AUTOMOTIVE, S.A.","2.69B","2.69B","22.5","32.69444","45.308622222222226","9","88.89","9","A","40.274834293333335","0.989","8.302583","8.152174","","4.1","","","","2025-02-27"
"CLH","CLEAN HARBORS, INC.","10.6B","10.6B","196.76","265.24","34.80382191502338","13","85.71428571428571","7","E","29.831847355734322","1.216","26.48183","23.706022","","","1.15","1.15","1.15","2025-02-18"
"COA.L","COATS GROUP PLC","1.34B","1.34B","84.0","122.5","45.83333333333333","8","100.0","9","A","45.83333333333333","1.335","21.0","10.5","","2.91","","","","2025-03-06"
"COO","THE COOPER COMPANIES, INC.","16.0B","16.0B","80.12","107.41143","34.063192710933585","14","83.33333333333334","6","E","28.38599392577799","1.023","38.70532","19.637257","1.4","","1.6","1.6","1.6","2025-03-05"
"COP","CONOCOPHILLIPS","129B","129B","101.33","129.10759","27.412997138063734","29","100.0","5","E","27.412997138063734","1.129","12.974392","12.61893","8.2","3.1","1.21","1.21","1.21","2025-02-05"
"COR.LS","CORTICEIRA AMORIM, S.G.P.S., S.A.","1.08B","1.08B","8.11","11.01286","35.793588162762035","7","85.71","7","A","30.678684414303337","0.553","15.596154","12.671875","","4.9","","","","2025-02-21"
"CSTM","CONSTELLIUM SE","1.72B","1.72B","11.99","19.048002","58.86573811509592","5","100.0","5","A","58.86573811509592","2.126","31.552631","8.212328","","","1.43","1.43","1.43","2025-02-19"
"DCO","DUCOMMUN INCORPORATED","0.89B","0.89B","59.95","82.2","37.114261884904074","5","100.0","5","A","37.114261884904074","1.561","28.278303","14.693628","","","1.25","1.25","1.25","2025-02-26"
"DIE.BR","D'IETEREN GROUP SA","8.78B","8.78B","165.5","207.5","25.377643504531733","6","83.33","6","A","21.14719033232629","1.185","23.179272","11.821428","","2.29","","","","2025-03-10"
"DSV.CO","DSV A/S","348B","348B","1482.5","1784.4375","20.366779089376053","16","100.0","16","A","20.366779089376053","0.875","31.535845","24.712452","1.2","0.48","","","","2025-02-04"
"DTG.DE","DAIMLER TRUCK HOLDING AG","32.2B","32.2B","40.77","47.76765","17.163723325974978","17","82.35","17","A","14.134326158940393","1.086","9.7769785","8.980176","","4.6","","","","2025-03-14"
"EFX","EQUIFAX INC.","30.0B","30.0B","242.26","291.2163","20.20816478163956","19","100.0","5","E","20.20816478163956","1.647","50.15735","25.744951","0.9","0.66","2.54","2.54","2.54","2025-02-05"
"ENC.MC","ENCE ENERGÍA Y CELULOSA, S.A.","0.80B","0.80B","3.314","4.09375","23.528968014484008","8","100.0","8","A","23.528968014484008","1.001","25.492308","10.690322","","4.25","","","","2025-02-27"
"EQH","EQUITABLE HOLDINGS, INC.","16.2B","16.2B","52.76","62.7","18.840030326004566","10","100.0","8","E","18.840030326004566","1.387","13.957671","7.297372","","1.86","1.72","1.72","1.72","2025-02-04"
"FAGR.BR","FAGRON NV","1.40B","1.40B","19.18","22.84","19.08237747653807","5","100.0","5","A","19.08237747653807","0.274","17.925234","14.530303","","1.57","","","","2025-02-20"
"FCC.MC","FOMENTO DE CONSTRUCCIONES Y CONTRATAS, S.A.","4.88B","4.88B","10.72","13.22857","23.400839552238793","7","85.71","7","A","20.05685958022387","1.257","16.242424","12.761906","","6.25","","","","2025-02-27"
"FGR.PA","EIFFAGE SA","10.6B","10.6B","110.9","134.22942","21.03644724977456","17","88.24","17","A","18.56256105320107","1.234","10.018067","9.677138","","4.22","","","","2025-02-26"
