symbol,name,sector,subSector,headQuarter,founded
NVDA,Nvidia,Technology,Semiconductors,"Santa Clara, CA",1993-04-05
SHW,Sherwin-Williams,Basic Materials,Chemicals - Specialty,"Cleveland, OH",1866-01-01
AMZN,"Amazon.com, Inc.amazon.com",Consumer Cyclical,Specialty Retail,"Seattle, WA",1994-07-05
AMGN,Amgen Inc.,Healthcare,Drug Manufacturers - General,"Thousand Oaks, CA",1980-04-08
CRM,"Salesforce, Inc.",Technology,Software - Application,"San Francisco, CA",1999-02-03
HON,Honeywell International Inc.,Industrials,Conglomerates,"Charlotte, NC",1906-01-01
GS,"The Goldman Sachs Group, Inc.",Financial Services,Financial - Capital Markets,"New York, NY",1869-01-01
AAPL,Apple Inc.,Technology,Consumer Electronics,"Cupertino, CA",1976-04-01
NKE,"Nike, Inc.",Consumer Cyclical,Apparel - Footwear & Accessories,"Beaverton, OR",1964-01-25
V,Visa Inc.,Financial Services,Financial - Credit Services,"San Francisco, CA",1958-09-18
UNH,UnitedHealth Group Incorporated,Healthcare,Medical - Healthcare Plans,"Minnetonka, MN",1977-01-01
CSCO,"Cisco Systems, Inc.",Technology,Communication Equipment,"San Jose, CA",1984-12-10
TRV,"The Travelers Companies, Inc.",Financial Services,Insurance - Property & Casualty,"New York, NY",1853-01-01
CVX,Chevron Corporation,Energy,Oil & Gas Integrated,"San Ramon, CA",1879-09-10
VZ,Verizon Communications Inc.,Communication Services,Telecommunications Services,"New York, NY",1983-10-07
HD,"The Home Depot, Inc.",Consumer Cyclical,Home Improvement,"Atlanta, GA",1978-02-06
MSFT,Microsoft Corporation,Technology,Software - Infrastructure,"Redmond, WA",1975-04-04
JNJ,Johnson & Johnson,Healthcare,Drug Manufacturers - General,"New Brunswick, NJ",1886-01-01
WMT,Walmart Inc.,Consumer Defensive,Discount Stores,"Bentonville, AR",1962-07-02
CAT,Caterpillar Inc.,Industrials,Agricultural - Machinery,"Deerfield, IL",1925-04-15
DIS,The Walt Disney Company,Communication Services,Entertainment,"Burbank, CA",1923-10-16
JPM,JPMorgan Chase & Co.,Financial Services,Banks - Diversified,"New York, NY",2000-12-01
BA,The Boeing Company,Industrials,Aerospace & Defense,"Arlington, VA",1916-07-15
KO,The Coca-Cola Company,Consumer Defensive,Beverages - Non-Alcoholic,"Atlanta, GA",1892-01-29
MCD,McDonald's Corporation,Consumer Cyclical,Restaurants,"Chicago, IL",1940-05-15
AXP,American Express Company,Financial Services,Financial - Credit Services,"New York, NY",1850-03-18
IBM,International Business Machines Corporation,Technology,Information Technology Services,"Armonk, NY",1924-06-16
MRK,"Merck & Co., Inc.",Healthcare,Drug Manufacturers - General,"Kenilworth, NJ",1891-01-01
MMM,3M Company,Industrials,Conglomerates,"Saint Paul, MN",1902-06-13
PG,The Procter & Gamble Company,Consumer Defensive,Household & Personal Products,"Cincinnati, OH",1837-10-31
ABNB,Airbnb,Consumer Cyclical,Travel Services,"San Francisco, CA",2008-08-01
ADBE,Adobe Inc.,Technology,Software - Infrastructure,"San Jose, CA",1982-12-01
ADI,Analog Devices,Technology,Semiconductors,"Wilmington, MA",1965-01-01
ADP,ADP,Industrials,Staffing & Employment Services,"Roseland, NJ",1949-01-01
ADSK,Autodesk,Technology,Software - Application,"San Rafael, CA",1982-01-30
AEP,American Electric Power,Utilities,Regulated Electric,"Columbus, OH",1906-01-01
AMAT,Applied Materials,Technology,Semiconductors,"Santa Clara, CA",1967-11-10
