BuySell,investmentPctRealized,profitPct,valuePctUnrealized,positionValue,name,ticker,Exchange,Sector,AssetClass
BUY,2.78458,1.067301,2.753607,2.81429985,Apple,AAPL,Nasdaq,Consumer Goods,Stocks
BUY,2.375353,29.993347,3.021209,3.087800868,Meta Platforms Inc,META,Nasdaq,Technology,Stocks
BUY,7.240253,5.064327,7.442872,7.606923088,Microsoft,MSFT,Nasdaq,Technology,Stocks
BUY,7.656923,0.371232,7.519605,7.685347948,Amazon.com Inc,AMZN,Nasdaq,Services,Stocks
BUY,0.696178,1.432,0.690919,0.706147269,Bank of America Corp,BAC,NYSE,Financial,Stocks
BUY,0.696178,1.527,0.691566,0.706808638,Chevron,CVX,NYSE,Basic Materials,Stocks
BUY,0.696178,0,0.681164,0.696178,Intel,INTC,Nasdaq,Technology,Stocks
BUY,1.392356,1.0115,1.376109,1.406439681,Exxon-Mobil,XOM,NYSE,Basic Materials,Stocks
BUY,2.784713,-0.1805,2.71974,2.779686593,Mastercard,MA,NYSE,Financial,Stocks
BUY,0.696178,0.503,0.684591,0.699679775,Visa,V,NYSE,Financial,Stocks
BUY,0.696178,5.103,0.715924,0.731703963,"Micron Technology, Inc.",MU,Nasdaq,Technology,Stocks
BUY,5.221336,38.4484,7.072959,7.228856151,NVIDIA Corporation,NVDA,Nasdaq,Technology,Stocks
BUY,1.392356,1.1175,1.377553,1.407915578,Deutsche Telekom AG,DTE.DE,FRA,Technology,Stocks
BUY,2.784713,-4.7685,2.594732,2.651923961,Qualcomm Inc,QCOM,Nasdaq,Technology,Stocks
BUY,1.392356,-0.543,1.354931,1.384795507,Kroger Co,KR,NYSE,Consumer Goods,Stocks
BUY,0.696178,-9.808,0.614356,0.627896862,Halliburton Co,HAL,NYSE,Basic Materials,Stocks
BUY,0.696178,-6.366,0.637801,0.651859309,PPG Industries Inc,PPG,NYSE,Basic Materials,Stocks
BUY,0.696178,-3.273,0.65887,0.673392094,D.R. Horton Inc,DHI,NYSE,Industrial Goods,Stocks
BUY,1.392349,1.819509,1.38711,1.417682915,Deutsche Bank Aktiengesellschaft,DBK.DE,FRA,Financial,Stocks
BUY,1.392356,5.014,1.430636,1.46216873,Barclays,BARC.L,LSE,Financial,Stocks
BUY,3.132746,-6.78501,2.857212,2.920188871,Ishares Russell 2000 ETF,IWM,NYSE,Financial,ETF
BUY,1.392356,-3.601,1.313271,1.34221726,Broadcom Inc,AVGO,Nasdaq,Technology,Stocks
BUY,0.696178,-10.774,0.607776,0.621171782,Schlumberger Ltd,SLB,NYSE,Basic Materials,Stocks
BUY,0.696178,0.108,0.6819,0.696929872,Dell Technologies Inc C,DELL,NYSE,Technology,Stocks
BUY,2.088535,-12.749333,1.782961,1.822260718,Marvell Technology Group Ltd,MRVL,Nasdaq,Technology,Stocks
BUY,1.392356,-0.266,1.358705,1.388652333,iShares MSCI India ETF,INDA,Chicago Board Options Exchange,Financial,ETF
BUY,2.088535,-3.373333,1.974559,2.01808176,Taiwan Semiconductor Manufacturing Co Ltd - ADR,TSM,NYSE,Technology,Stocks
BUY,4.525158,3.398,4.578017,4.678922869,Alphabet Inc Class A,GOOGL,Nasdaq,Services,Stocks
BUY,0.696178,-13.88,0.586619,0.599548494,elf Beauty Inc,ELF,NYSE,Consumer Goods,Stocks
BUY,1.392356,1.687,1.385311,1.415845046,Banco Santander SA,SAN.MC,Bolsa De Madrid,Financial,Stocks
BUY,0.696178,-12.703,0.594636,0.607742509, Chord Energy Corporation,CHRD,Nasdaq,Basic Materials,Stocks
BUY,0.696178,-1.982,0.667664,0.682379752,Legend Biotech Corporation-ADR,LEGN,Nasdaq,Consumer Goods,Stocks
BUY,10.094103,-1.250059,9.752953,9.967920757,Amundi MSCI Greece UCITS ETF,LYXGRE.DE,Xetra ETFs,Financial,ETF
BUY,0.696039,0.489098,0.684359,0.699443313,Bitcoin,BTCUSD,Digital Currency,NA,Crypto
BUY,0.696088,-1.578205,0.670327,0.685102304,Ethereum,ETHUSD,Digital Currency,NA,Crypto
BUY,0.696178,-1.659,0.669864,0.684628407,Solana,SOLUSD,Digital Currency,NA,Crypto
