#,Ticker,Price,DCF P,DCF %,Target,Target %,# T,Rating,# R,ER,Score,Piotr,PE,PEG,Inside,Institute,Senate
1,AMZN,194.49,52.79,-72.9,222.50,14.4,16,97,34,13.97,4,7,53.6,2.66,-,15.06%,100
2,UBER,72.43,-,-,85.50,18.1,6,96,21,17.33,4,6,108.3,3.21,-,10.17%,100
3,LLY,948.40,309.34,-67.4,925.00,-2.5,13,96,23,-2.37,5,7,139.2,12.18,-,-4.63%,0
4,NVDA,129.24,58.70,-54.6,125.00,-3.3,30,96,87,-3.15,4,8,74.7,0.13,-,89.48%,62
5,MSFT,453.55,330.83,-27.1,500.00,10.2,14,95,20,9.73,5,7,39.1,2.79,2.22,-3.80%,36
6,META,498.87,478.77,-4.0,542.50,8.8,24,94,30,8.22,4,8,27.7,1.51,-,-0.89%,0
7,ARGX,466.42,-,-,487.50,4.5,8,94,16,4.25,4,1,-84.4,-2.41,-,6.62%,-
8,GE,159.01,21.43,-86.5,201.00,26.4,3,93,12,24.56,4,7,34.0,0.03,1.31,15.24%,-
9,ELV,535.54,1118.19,108.8,605.00,13.0,7,93,12,12.06,5,6,20.0,1.50,2.00,4.30%,-
10,TTD,99.44,34.95,-64.8,110.00,10.6,6,93,12,9.88,3,8,241.4,7.74,0.50,2.56%,-
11,MU,133.55,-6.68,-105.0,159.00,19.1,8,92,10,17.54,3,5,-96.1,0.57,0.25,-29.30%,-
12,AVGO,1700.67,1026.47,-39.6,1950.00,14.7,17,91,20,13.34,4,4,77.0,6.23,0.62,16.43%,100
13,APP,84.86,57.78,-31.9,100.00,17.8,2,90,8,16.06,5,7,47.7,1.22,-,-22.21%,-
14,KO,63.70,111.98,75.8,72.00,13.0,1,90,8,11.73,5,8,25.5,4.37,1.43,29.31%,-
15,ICE,148.40,103.53,-30.2,167.00,12.5,1,90,8,11.28,4,6,34.3,3.05,0.21,26.78%,-
16,MET,73.39,207.30,182.5,82.00,11.7,3,90,8,10.56,4,5,22.4,-0.59,-,-4.38%,-
17,ALC,91.74,13.65,-85.1,101.00,10.1,9,90,8,9.08,3,7,43.2,5.20,-,91.81%,0
18,UNH,511.53,921.44,80.1,562.00,9.9,5,90,8,8.88,5,6,30.7,2.65,-,22.04%,100
19,KKR,110.74,-,-,120.50,8.8,4,90,8,7.93,4,5,24.1,0.71,-,-2.65%,100
20,ABBV,170.28,-,-,185.00,8.6,5,90,8,7.78,5,5,50.3,3.51,15.00,-8.82%,-
21,BSX,77.69,31.56,-59.4,83.00,6.8,14,90,18,6.15,4,6,64.4,8.25,0.60,-37.72%,-
22,SNPS,614.05,322.55,-47.5,655.50,6.8,6,90,8,6.08,4,6,65.8,4.42,0.50,42.88%,-
23,TRGP,135.05,-10.41,-107.7,128.00,-5.2,3,90,8,-4.70,4,6,26.8,1.15,-,1.65%,-
24,TJX,114.30,92.29,-19.2,105.00,-8.1,4,90,8,-7.33,4,9,27.8,2.81,1.76,-3.96%,-
25,BABA,79.65,-,-,112.50,41.2,4,89,7,36.70,2,7,17.9,2.46,-,-150.21%,-
26,PDD,142.42,165.40,16.1,196.50,38.0,6,89,7,33.79,4,7,17.8,2.49,-,5.85%,-
27,MCD,253.90,344.13,35.5,315.00,24.1,8,89,17,21.41,2,7,21.3,3.91,-,-13.22%,-
28,CRWD,371.32,367.31,-1.1,400.00,7.7,17,89,17,6.87,4,7,683.6,4.64,-,22.52%,100
29,TSM,187.35,64.00,-65.8,200.00,6.8,2,89,7,6.01,4,5,36.3,1.78,-,15.72%,-
30,SPGI,478.32,347.92,-27.3,500.00,4.5,3,89,7,4.03,4,8,53.1,3.08,0.14,5.52%,-
31,PANW,336.50,278.06,-17.4,337.00,0.1,18,89,16,0.13,4,6,44.4,1.83,-,-17.10%,-
32,HAL,33.94,14.77,-56.5,52.00,53.2,1,88,6,46.82,5,7,11.6,2.83,-,25.41%,-
33,AZO,2920.83,4883.10,67.2,3264.00,11.8,8,88,14,10.34,3,8,19.2,1.88,-,-2.70%,-
34,NOW,758.49,714.40,-5.8,846.00,11.5,5,88,14,10.16,4,6,80.7,3.00,-,23.77%,-
35,ICLR,336.03,693.92,106.5,370.00,10.1,5,88,6,8.90,4,7,40.6,1.15,-,5.62%,-
36,WMT,69.24,45.89,-33.7,71.00,2.5,25,87,28,2.21,4,8,29.4,5.38,-,1.24%,-
37,TCOM,50.27,54.79,9.0,66.00,31.3,5,86,5,26.91,4,7,21.9,1.44,-,-54.99%,-
38,ABT,104.22,131.56,26.2,129.00,23.8,6,86,5,20.45,4,6,32.1,4.91,-,-0.86%,-
39,CI,334.79,917.08,173.9,400.00,19.5,6,86,5,16.75,5,8,42.6,6.90,-,-10.05%,-
40,MDLZ,65.36,111.36,70.4,78.00,19.3,2,86,5,16.63,4,9,20.5,2.36,11.00,10.48%,-
41,ET,16.25,18.51,13.9,19.00,16.9,3,86,5,14.55,4,5,13.9,3.66,0.33,8.06%,100
42,PH,537.90,279.80,-48.0,610.00,13.4,7,86,12,11.52,4,7,25.0,3.21,0.50,3.79%,100
43,IR,97.28,105.67,8.6,109.00,12.1,1,86,5,10.36,3,9,48.0,1.41,0.27,-0.90%,100
44,WDC,78.75,-10.36,-113.2,88.00,11.7,3,86,12,10.10,3,3,-16.4,0.08,-,-1.58%,-
45,NVO,142.08,154.77,8.9,158.00,11.2,2,86,5,9.63,5,8,48.5,2.70,-,-11.77%,100
46,PG,166.61,235.83,41.5,185.00,11.0,3,86,5,9.49,4,7,26.0,5.27,-,-7.74%,100
47,FANG,204.17,68.54,-66.4,224.00,9.7,3,86,5,8.35,4,7,11.4,0.46,0.60,7.17%,-
48,MPWR,855.67,471.09,-45.0,937.50,9.6,2,86,5,8.22,4,5,101.5,3.18,-,-213.17%,-
49,TMUS,179.54,-,-,190.00,5.8,3,86,5,5.01,4,8,24.3,1.45,-,1.35%,100
50,WELL,104.20,62.71,-39.8,104.50,0.3,4,86,5,0.25,3,7,135.5,18.28,-,18.44%,-
51,RCL,166.40,-,-,165.00,-0.8,3,86,12,-0.72,4,6,20.3,1.74,-,-0.31%,-
52,WPM,59.59,25.38,-57.4,59.00,-1.0,1,86,5,-0.85,4,6,45.7,8.07,-,-19.63%,-
53,MCK,576.66,937.15,62.5,679.00,17.8,3,85,11,15.09,2,8,25.1,3.30,0.47,-10.25%,0
54,SHW,318.37,192.85,-39.4,357.50,12.3,10,85,11,10.45,5,7,33.3,5.05,-,-1.94%,-
55,DDOG,127.80,107.42,-15.9,140.00,9.6,11,85,11,8.12,4,7,367.8,1.90,0.59,50.40%,-
56,SLB,46.42,27.64,-40.5,-,-,0,85,11,-,5,6,15.3,6.58,-,5.28%,-
57,AMD,181.61,66.50,-63.4,200.00,10.1,10,84,17,8.51,3,6,263.1,6.88,0.57,8.78%,50
58,GOOGL,185.07,204.42,10.4,195.00,5.4,13,84,42,4.51,4,8,27.9,1.54,1.14,4.62%,33
59,BIIB,230.06,327.18,42.2,305.50,32.8,10,83,16,27.22,4,5,28.6,-0.46,0.40,-79.35%,-
60,CTVA,53.10,42.84,-19.3,65.00,22.4,6,83,10,18.60,5,6,66.5,11.58,1.55,-0.77%,-
61,SHEL,73.08,-,-,84.50,15.6,2,83,4,12.97,4,6,13.1,2.36,-,5.32%,-
