#,Ticker,Price,DCF P,DCF %,Target,Target %,# T,Rating,# R,ER,Score,Piotr,PE,PEG,Inside,Institute,Senate
1,AMZN,199.29,51.31,-74.2,222.50,11.7,14,97,31,11.30,4,7,55.0,2.73,-,2.01%,100
2,UBER,71.25,-,-,85.50,20.0,6,96,21,19.20,4,6,106.5,3.16,0.57,0.16%,100
3,MSFT,466.24,321.23,-31.1,500.00,7.2,13,95,17,6.88,5,7,40.2,2.87,2.22,0.65%,33
4,LLY,918.00,290.28,-68.4,915.00,-0.3,11,95,20,-0.31,5,7,134.7,11.79,-,0.04%,-
5,NVDA,128.20,57.70,-55.0,125.00,-2.5,30,95,84,-2.38,4,8,74.1,0.13,-,-1.12%,60
6,GE,163.53,20.91,-87.2,201.00,22.9,3,93,12,21.31,4,7,34.9,0.03,1.31,4.21%,-
7,META,529.32,467.55,-11.7,542.50,2.5,24,93,28,2.32,4,8,29.4,1.61,-,-0.52%,0
8,ELV,526.55,1093.96,107.8,605.00,14.9,7,92,11,13.71,5,6,19.6,1.48,2.00,-0.32%,-
9,MU,130.69,-6.65,-105.1,158.00,20.9,7,91,9,19.02,3,5,-94.0,0.56,0.25,-0.25%,-
10,AVGO,1745.86,1001.00,-42.7,1950.00,11.7,17,90,19,10.52,4,4,79.0,6.39,0.62,0.46%,-
11,TJX,112.21,90.08,-19.7,105.00,-6.4,4,90,8,-5.79,4,9,27.3,2.76,1.76,0.19%,-
12,BABA,73.50,-,-,112.50,53.1,4,89,7,47.22,2,7,16.5,2.27,-,2.35%,-
13,PDD,134.68,161.98,20.3,196.50,45.9,6,89,7,40.85,4,7,16.9,2.36,-,-0.16%,-
14,UNH,489.34,902.61,84.5,562.00,14.8,5,89,7,13.22,5,6,29.3,2.54,-,-0.12%,100
15,BSX,76.11,30.37,-60.1,83.00,9.1,14,89,17,8.05,4,6,63.1,8.08,0.60,0.30%,-
16,PANW,337.64,271.60,-19.6,337.00,-0.2,18,89,16,-0.17,4,6,44.5,1.84,-,-4.01%,-
17,MCD,247.85,328.68,32.6,315.00,27.1,8,88,14,23.84,2,7,20.8,3.81,-,0.57%,-
18,KO,62.96,106.66,69.4,72.00,14.4,1,88,6,12.64,5,8,25.2,4.32,1.43,1.25%,-
19,ABBV,166.52,-,-,185.00,11.1,5,88,6,9.77,5,5,49.2,3.43,15.00,1.51%,-
20,SPGI,455.89,342.50,-24.9,500.00,9.7,3,88,6,8.52,4,8,50.6,2.93,0.14,-1.00%,-
21,NOW,766.20,695.41,-9.2,838.00,9.4,4,88,14,8.25,4,6,81.5,3.03,-,0.60%,-
22,TSM,186.63,63.28,-66.1,200.00,7.2,2,88,6,6.30,4,5,36.1,1.77,-,-1.55%,-
23,WMT,69.68,44.78,-35.7,71.00,1.9,25,87,28,1.64,4,8,29.6,5.41,-,67.02%,-
24,ABT,102.12,126.79,24.2,129.00,26.3,6,86,5,22.64,4,6,31.5,4.81,-,0.63%,-
25,T,18.81,37.23,97.9,23.25,23.6,4,86,5,20.30,4,7,9.9,0.04,17.00,2.23%,50
26,MA,446.24,241.17,-46.0,513.50,15.1,6,86,5,12.96,5,7,35.1,3.15,0.27,0.61%,-
27,NVO,143.07,148.01,3.5,158.00,10.4,2,86,5,8.98,5,8,49.2,2.74,-,5.20%,100
28,TMUS,179.17,-,-,190.00,6.0,3,86,5,5.19,4,8,24.3,1.44,-,0.98%,100
29,GOOGL,189.03,199.33,5.5,195.00,3.2,13,86,41,2.72,4,8,28.5,1.57,1.14,0.84%,66
30,MRK,125.78,134.52,6.9,144.00,14.5,2,83,4,12.03,5,7,138.2,20.73,1.50,1.37%,-
31,SYK,334.11,218.30,-34.7,380.00,13.7,3,83,10,11.40,5,6,37.8,4.37,0.50,0.41%,-
32,PG,166.52,225.78,35.6,185.00,11.1,3,83,4,9.21,5,7,26.0,5.27,-,2.14%,100
33,AMD,178.69,65.42,-63.4,200.00,11.9,9,82,15,9.78,3,6,258.9,6.77,0.57,-2.45%,100
34,ADI,233.34,301.93,29.4,245.00,5.0,10,81,14,4.05,3,5,54.1,2.38,-,0.97%,-
35,AMAT,246.29,150.00,-39.1,240.00,-2.5,11,81,14,-2.07,5,7,28.0,1.68,-,-2.14%,-
36,V,266.40,185.97,-30.2,314.50,18.1,6,80,8,14.45,4,7,28.5,2.97,0.25,1.03%,0
37,JNJ,145.48,158.17,8.7,170.00,16.9,7,80,13,13.48,4,7,9.1,7.11,-,0.98%,100
38,SHEL,72.72,-,-,84.50,16.2,2,80,3,12.96,4,6,13.0,2.35,-,2.57%,-
39,SAP,202.79,81.54,-59.8,227.00,11.9,3,80,3,9.55,3,7,41.9,12.86,-,-1.86%,-
40,REGN,1052.25,2360.43,124.3,1177.50,11.9,8,78,7,9.28,4,5,29.4,2.92,0.05,3.26%,-
41,BKNG,3984.63,4787.28,20.1,4175.00,4.8,6,77,11,3.68,2,7,28.4,1.30,0.27,-1.05%,100
