#,Ticker,Price,DCF P,DCF %,Target,Target %,# T,Rating,# R,ER,Score,Piotr,PE,PEG,Inside,Institute,Senate
1,AMZN,198.76,51.31,-74.2,222.50,11.9,14,97,31,11.58,4,7,54.8,2.72,-,2.01%,100
2,MSFT,465.29,321.23,-31.0,500.00,7.5,13,95,17,7.09,5,7,40.1,2.86,2.22,0.65%,33
3,NVDA,128.77,57.70,-55.2,125.00,-2.9,30,95,84,-2.78,4,8,74.4,0.13,-,-1.12%,60
4,GE,162.70,20.91,-87.2,201.00,23.5,3,93,12,21.89,4,7,34.7,0.03,1.31,4.21%,-
5,META,529.75,467.55,-11.7,540.00,1.9,23,93,28,1.79,4,8,29.5,1.61,-,-0.52%,0
6,UAL,46.88,-,-,65.00,38.6,5,90,8,34.78,4,6,5.7,0.23,3.40,7.44%,-
7,AVGO,1751.28,1001.00,-42.8,1950.00,11.3,17,90,19,10.21,4,4,79.3,6.41,0.62,0.46%,-
8,DAL,46.73,-,-,60.00,28.4,5,89,7,25.28,4,7,5.8,0.24,1.22,7.67%,100
9,MTDR,58.65,-33.35,-156.9,85.00,44.9,3,88,6,39.55,4,4,8.0,0.20,-,3.26%,-
10,CTRA,26.50,65.38,146.8,36.00,35.9,4,88,6,31.57,4,6,15.3,1.73,-,-0.60%,-
11,MCD,248.75,328.68,32.1,315.00,26.6,8,88,14,23.44,2,7,20.9,3.83,-,0.57%,-
12,KO,63.06,106.66,69.1,72.00,14.2,1,88,6,12.47,5,8,25.2,4.32,1.43,1.25%,-
13,TSM,186.52,63.28,-66.1,200.00,7.2,2,88,6,6.36,4,5,36.1,1.76,-,-1.55%,-
14,ABT,102.53,126.79,23.7,129.00,25.8,6,86,5,22.21,4,6,31.6,4.83,-,0.63%,-
15,T,18.73,37.23,98.7,23.25,24.1,4,86,5,20.73,4,7,9.9,0.04,17.00,2.23%,50
16,GOOGL,189.45,199.33,5.2,195.00,2.9,13,86,41,2.52,4,8,28.5,1.58,1.14,0.84%,66
17,CHRD,168.49,254.14,50.8,228.00,35.3,5,83,4,29.32,4,6,7.5,3.62,4.00,5.28%,-
18,AMD,176.50,65.42,-62.9,200.00,13.3,9,82,15,10.91,3,6,255.7,6.68,0.57,-2.45%,100
19,VST,91.68,50.17,-45.3,113.00,23.2,4,80,3,18.60,4,5,42.2,7.10,-,1.65%,-
20,MRVL,75.20,30.16,-59.9,90.50,20.4,8,80,8,16.28,4,4,-66.4,-3.09,-,-0.20%,-
21,AAPL,226.61,142.50,-37.1,215.50,-4.9,14,76,32,-3.72,5,8,34.8,3.18,0.18,0.15%,75
22,ALGN,248.98,191.58,-23.1,370.00,48.6,3,75,6,36.46,4,9,40.5,2.68,2.00,0.91%,0
23,QCOM,207.49,159.82,-23.0,200.00,-3.6,13,71,19,-2.56,5,7,27.6,2.11,-,2.96%,-
24,DBK.DE,15.47,16.96,9.6,-,-,0,-,0,-,3,5,6.3,1.07,-,-,-
25,SAN.MC,4.45,-,-,-,-,0,-,0,-,4,5,6.1,1.64,-,-,-
26,BARC.L,222.05,-,-,-,-,0,-,0,-,4,4,6.6,1.56,-,-,-
27,INDA,56.67,-,-,-,-,0,-,,-,,,-,-,-,-,-
28,EWJ,69.75,-,-,-,-,0,-,,-,,,-,-,-,-,-
29,IWM,202.33,-,-,-,-,0,-,,-,,,-,-,-,-,-
30,XLE,89.31,-,-,-,-,0,-,,-,,,-,-,-,-0.95%,46
31,BTC,99.11,-,-,-,-,0,-,,-,,,-,-,-,-,-
32,LYXGRE.DE,-,-,-,-,-,0,-,,-,,,-,-,-,-,-
