symbol,company,price,target_price,upside,analyst_count,buy_percentage,total_ratings,A,EXRET,beta,pe_trailing,pe_forward,peg_ratio,dividend_yield,short_float_pct,insider_buy_pct,insider_transactions,last_earnings,exchange
0B2.DE,BAWAG Group AG,97.1,,,,,,,,1.08,11.477541,,,5.15,,,,,DE
1COV.DE,Covestro AG,58.06,61.91667,6.64255942128833,12.0,0.0,12.0,A,0.0,1.139,,27.647621,,,,,,2025-02-26,DE
1FC.DE,FACC AG,7.09,,,,,,,,1.401,15.413044,,,,,,,2025-02-26,DE
1SXP.DE,SCHOTT Pharma AG & Co. KGaA,24.44,27.84818,13.945090016366612,11.0,45.45,11.0,A,6.338043412438626,,27.460674,22.018019,,0.65,,,,2025-02-13,DE
1U1.DE,1&1 AG,13.04,16.93333,29.856825153374245,12.0,41.67,12.0,A,12.44133904141105,0.517,8.993103,7.4514284,,0.38,,,,2025-02-13,DE
2020.OL,2020 Bulkers Ltd.,137.0,155.39197,13.424795620437946,4.0,75.0,4.0,A,10.06859671532846,0.91,3.6768653,73.26203,,2.92,,,,2025-02-12,OL
22UA.DE,BioNTech SE,106.8,,,,,,,,0.176,,,,,,,,2024-11-04,DE
2HRA.DE,H&R GmbH & Co. KGaA,3.76,5.7,51.59574468085109,1.0,,,,,0.852,25.066666,10.444444,,2.66,,,,2025-02-27,DE
2INV.DE,2invest AG,12.1,,,,,,,,0.288,13.908047,,,,,,,2025-02-28,DE
2M6.DE,Medtronic plc,87.44,,,,,,,,0.857,27.670887,,1.8427,3.11,,,,2025-02-18,DE
3IN.L,3i Infrastructure Ord,315.0,384.5,22.063492063492077,4.0,87.5,8.0,A,19.305555555555564,,9.0,0.07875,,,,,,2024-11-12,L
3SQ1.DE,AHT Syngas Technology N.V.,8.5,,,,,,,,1.062,21.25,,,,,,,,DE
4BB.L,4basebio PLC,1160.0,1800.0,55.172413793103445,1.0,,,,,1.096,,-0.19333334,,,,,,,L
4DS.DE,Daldrup & Söhne Aktiengesellschaft,8.68,12.0,38.24884792626728,3.0,100.0,3.0,A,38.24884792626728,0.632,24.11111,32.148148,,,,,,2023-10-06,DE
5CV.DE,CureVac N.V.,2.946,,,,,,,,2.507,6.2680855,,,,,,,2024-11-12,DE
5PG.OL,5th Planet Games A/S,1.06,,,,,,,,1.472,,,,,,,,2024-11-22,OL
690D.DE,"Haier Smart Home Co., Ltd.",1.8926,,,,,,,,0.81,7.279231,6.5262074,0.6567,5.51,,,,2024-10-29,DE
74SW.PA,,29.2,35.0,19.863013698630148,2.0,100.0,2.0,A,19.863013698630148,0.382,20.277777,15.051546,,,,,,2025-02-26,PA
8TRA.DE,Traton SE,36.3,36.68867,1.0707162534435488,15.0,50.0,16.0,A,0.5353581267217744,1.66,7.062257,6.205128,,4.13,,,,2024-10-28,DE
93M1.DE,MPH Health Care AG,23.4,108.0,361.5384615384616,1.0,100.0,1.0,A,361.53846153846166,1.15,0.83870965,,,5.13,,,,2024-11-21,DE
A1OS.DE,All for One Group SE,52.4,84.85,61.92748091603053,2.0,100.0,2.0,A,61.92748091603053,1.031,14.162163,12.535886,,3.05,,,,2025-02-10,DE
A2A.MI,A2A S.p.A.,2.189,2.46,12.380082229328448,5.0,80.0,5.0,A,9.90406578346276,1.144,6.080555,12.16111,,4.38,,,,2025-02-20,MI
A4Y.DE,ACCENTRO Real Estate AG,0.248,,,,,,,,0.691,,0.38153848,,,,,,2024-11-29,DE
A6T.DE,artec technologies AG,1.75,3.3,88.57142857142857,1.0,100.0,1.0,A,88.57142857142857,-0.01,,175.0,,,,,,,DE
A7A.DE,Heliad AG,12.8,15.5,21.09375,1.0,100.0,2.0,A,21.09375,1.069,,64.0,,,,,,2024-09-30,DE
AAD.DE,Amadeus FiRe AG,76.4,120.0,57.06806282722512,2.0,100.0,2.0,A,57.06806282722512,1.635,12.24359,11.681957,,6.54,,,,2025-02-10,DE
AAF.L,Airtel Africa Plc,142.6,157.68303,10.577159887798038,9.0,44.44,9.0,A,4.700489854137448,1.053,,11.883334,,3.38,,,,2025-01-30,L
