symbol,company,price,target_price,upside,analyst_count,buy_percentage,total_ratings,A,EXRET,beta,pe_trailing,pe_forward,peg_ratio,dividend_yield,short_float_pct,insider_buy_pct,insider_transactions,last_earnings,exchange
0883.HK,CNOOC,17.88,22.367107,25.09567673378077,18.0,94.44,18.0,A,23.70035710738256,0.742,5.570093,5.5874996,,8.28,,,,,HK
ATYM.L,"Atalaya Mining Copper, S.A.",365.0,488.33298,33.78985753424657,6.0,85.71,7.0,A,28.96128689260273,1.642,24.333332,6.759259,,1.69,,,,2024-11-13,L
CSH.DE,CENIT Aktiengesellschaft,7.25,16.74,130.8965517241379,5.0,100.0,5.0,A,130.8965517241379,0.725,20.138887,8.630953,,0.55,,,,2024-11-05,DE
CWC.DE,CEWE Stiftung & Co. KGaA,97.5,139.0,42.56410256410257,6.0,100.0,6.0,A,42.56410256410257,0.989,10.714285,11.155606,,2.67,,,,2025-02-25,DE
D6H.DE,DATAGROUP SE,40.45,76.91667,90.15245982694682,6.0,100.0,6.0,A,90.15245982694684,1.101,13.805461,12.220544,,2.47,,,,2025-02-20,DE
DBAN.DE,Deutsche Beteiligungs AG,24.55,43.36667,76.64631364562118,6.0,85.71,7.0,A,65.69355542566191,1.116,9.82,3.8299532,,4.07,,,,2024-11-28,DE
DOU.DE,Douglas AG,16.4,28.83333,75.81298780487806,6.0,100.0,6.0,A,75.81298780487806,,18.222221,6.0110254,,,,,,2024-12-19,DE
ECOR.L,Ecora Resources PLC,59.2,127.0,114.52702702702702,5.0,100.0,5.0,A,114.52702702702702,0.608,9.866667,7.4,,7.99,,,,,L
HSW.L,Hostelworld Group plc,120.0,198.87425,65.72854166666666,6.0,100.0,7.0,A,65.72854166666666,1.898,12.0,9.23077,,,,,,,L
ILM1.DE,Medios AG,12.26,26.25,114.11092985318108,4.0,100.0,5.0,A,114.11092985318108,1.051,23.132076,9.808001,,,,,,2024-11-12,DE
INH.DE,INDUS Holding AG,23.65,31.66667,33.89712473572939,6.0,83.33,6.0,A,28.246474042283303,1.516,10.021187,7.55591,,5.07,,,,2025-02-20,DE
M8G.DE,Verve Group SE,3.76,5.0115,33.284574468085104,6.0,83.33,6.0,A,27.73603590425532,0.842,26.857143,0.8156182,,,,,,2025-02-27,DE
SFD,"Smithfield Foods, Inc.",20.84,27.42857,31.61501919385796,7.0,100.0,5.0,E,31.61501919385796,,18.945454,9.600147,,,,,,,US
TNIE.DE,tonies SE,6.1,10.58,73.4426229508197,5.0,100.0,5.0,A,73.4426229508197,0.618,,26.521738,,,,,,2025-02-04,DE
VLX.L,Volex plc,270.0,424.80615,57.33561111111112,6.0,100.0,6.0,A,57.33561111111112,0.996,14.210526,7.105263,,1.59,,,,2024-11-15,L
DXRX.L,Diaceutics PLC,150.0,199.4,32.93333333333335,5.0,100.0,5.0,A,32.93333333333335,0.646,,0.75376886,,,,,,,L
