symbol,company,price,target_price,upside,analyst_count,buy_percentage,total_ratings,A,EXRET,beta,pe_trailing,pe_forward,peg_ratio,dividend_yield,short_float_pct,insider_buy_pct,insider_transactions,last_earnings,exchange
A,"Agilent Technologies, Inc.",127.92,151.5625,18.482254534083808,16.0,100.0,1.0,E,18.482254534083808,1.071,29.339449,22.640707,2.0841,0.78,1.17999995,0.0,1.0,2025-02-25,US
AA,Alcoa Corporation,33.25,48.04231,44.48815037593985,13.0,100.0,1.0,E,44.48815037593985,2.426,127.88462,10.423198,,1.2,5.23,0.0,1.0,2025-01-21,US
AACT,Ares Acquisition Corporation II,11.07,,,,,,,,,25.15909,,,,,,,2024-11-11,US
AADI,"Aadi Bioscience, Inc.",2.56,3.0,17.1875,1.0,0.0,2.0,A,0.0,0.323,,-2.5346534,,,6.959999999999999,0.0,2.0,2024-11-05,US
AAL,American Airlines Group Inc.,14.35,21.13136,47.256864111498274,22.0,50.0,2.0,E,23.628432055749137,1.351,11.572581,7.1039605,0.1981,,8.7799996,0.0,2.0,2025-01-22,US
AAMI,Acadian Asset Management Inc.,24.66,27.0,9.48905109489051,3.0,0.0,1.0,E,0.0,1.466,11.108108,7.6032968,,0.16,13.03,,,2025-02-05,US
AAOI,"Applied Optoelectronics, Inc.",21.86,32.2,47.30100640439161,5.0,100.0,1.0,E,47.30100640439161,2.353,,29.945206,,,18.370001,0.0,17.0,2025-02-25,US
AAON,"AAON, Inc.",76.8,114.4,48.95833333333335,5.0,66.66666666666666,3.0,E,32.63888888888889,,38.019802,26.211605,,0.42,4.0,0.0,9.0,2025-02-26,US
AAP,"Advance Auto Parts, Inc.",36.9,41.61905,12.788753387533893,21.0,0.0,4.0,E,0.0,1.175,,13.717472,0.6719,2.71,21.92,75.0,4.0,2025-02-25,US
AAPL,Apple Inc.,241.84,252.22575,4.294471551438961,40.0,70.0,10.0,E,3.0061300860072726,1.2,38.326466,29.102285,2.2399,0.41,0.8500000000000001,0.0,4.0,2025-01-29,US
AAT,"American Assets Trust, Inc.",22.46,23.0,2.4042742653606286,2.0,0.0,1.0,E,0.0,1.321,23.893616,31.194443,,6.06,2.4500001,0.0,1.0,2025-02-03,US
ABAT,American Battery Technology Company,1.0,,,,100.0,1.0,A,,1.448,,-7.142857,,,8.1,0.0,1.0,2025-02-13,US
ABBNY,ABB Ltd,53.63,52.837,-1.4786500093231347,5.0,20.0,5.0,A,-0.2957300018646269,0.903,25.660288,21.538153,2.2138,1.84,0.15,,,2025-01-29,US
ABBV,AbbVie Inc.,209.03,205.7477,-1.5702530737214726,26.0,87.5,8.0,E,-1.3739714395062883,0.561,87.82773,17.232481,0.4383,3.14,1.11,0.0,2.0,2025-01-30,US
ABCB,Ameris Bancorp,64.58,76.0,17.683493341591827,5.0,50.0,2.0,E,8.841746670795914,1.067,12.44316,12.838966,,1.24,2.22,0.0,1.0,2025-01-29,US
ABCL,AbCellera Biologics Inc.,2.585,11.85714,358.6901353965184,7.0,100.0,1.0,E,358.6901353965184,,,-3.9166665,,,8.83,,,2025-02-26,US
ABEO,Abeona Therapeutics Inc.,5.24,15.9,203.4351145038168,5.0,100.0,2.0,E,203.4351145038168,1.425,,-3.5405405,,,5.98,0.0,2.0,2024-11-13,US
ABEV,Ambev S.A.,2.07,2.8596,38.14492753623189,10.0,36.36,11.0,A,13.869495652173914,0.539,12.9375,10.894736,1.8327,6.3,,,,2025-02-25,US
ABG,"Asbury Automotive Group, Inc.",268.4,272.85715,1.6606371087928506,7.0,0.0,1.0,E,0.0,1.198,12.483721,9.693029,0.8131,,16.93,0.0,2.0,2025-01-29,US
ABM,ABM Industries Incorporated,54.33,58.83333,8.288845941468793,6.0,0.0,1.0,E,0.0,1.159,42.445316,14.844262,,1.95,3.6199998,0.0,3.0,2024-12-17,US
ABNB,"Airbnb, Inc.",138.87,155.35619,11.871671347303224,34.0,33.33333333333333,12.0,E,3.957223782434408,1.128,33.78832,30.859999,2.0612,,3.5900000000000003,0.0,38.0,2025-02-12,US
ABOS,"Acumen Pharmaceuticals, Inc.",1.28,10.8,743.75,5.0,100.0,1.0,E,743.75,-0.006,,-0.8366013,,,3.9,0.0,10.0,2024-11-11,US
ABR,"Arbor Realty Trust, Inc.",12.34,12.625,2.309562398703413,4.0,0.0,3.0,E,0.0,1.981,10.457627,8.06536,,13.94,42.0,100.0,1.0,2025-02-20,US
ABSI,Absci Corporation,3.85,8.625,124.02597402597402,8.0,100.0,8.0,E,124.02597402597402,2.125,,-5.4225354,,,25.73,,,2024-11-11,US
ABT,Abbott Laboratories,138.01,133.8275,-3.030577494384468,24.0,100.0,6.0,E,-3.030577494384468,0.742,18.040522,26.746124,2.4813,1.71,1.28999995,0.0,5.0,2025-01-21,US
ACAD,ACADIA Pharmaceuticals Inc.,19.6,24.75,26.27551020408163,20.0,100.0,3.0,E,26.27551020408163,0.37,14.411765,23.90244,,,12.3500004,0.0,5.0,2025-02-25,US
ACB,Aurora Cannabis Inc.,5.1,,,,50.0,6.0,A,,2.582,26.842106,-46.363636,,,,,,2025-02-04,US
ACCD,"Accolade, Inc.",6.97,7.06125,1.309182209469162,8.0,0.0,1.0,E,0.0,2.201,,-8.297619,,,2.52,0.0,16.0,2025-01-16,US
