ticker,signal,signal_date,tier,region,price_at_signal,future_price,stock_return,spy_return,alpha,net_alpha,round_trip_cost,beta,stock_return_eur,spy_return_eur,alpha_eur,beta_adj_alpha_eur,regional_benchmark,regional_benchmark_return,regional_alpha,suggested_horizon_days,horizon
MSFT,B,2026-06-15,mega,us,399.0088806152344,352.1670227050781,-11.739552723220216,-2.4692031587900667,-9.270349564430148,-9.450349564430148,0.18,0.8234893973378833,-9.805045025434111,-0.33150634122396383,-9.473538684210148,-9.532053068285903,SPY,-2.4692031587900667,-9.270349564430148,,7
GOOG,B,2026-06-15,mega,us,366.8717956542969,341.9679870605469,-6.788150217253781,-2.4692031587900667,-4.318947058463714,-4.498947058463714,0.18,1.4624143525907136,-4.74511682581703,-0.33150634122396383,-4.413610484593066,-4.260317194436271,SPY,-2.4692031587900667,-4.318947058463714,,7
AMZN,B,2026-06-15,mega,us,246.02000427246094,227.00999450683594,-7.727017899150955,-2.4692031587900667,-5.257814740360888,-5.437814740360888,0.18,1.3630108733505437,-5.704562771408439,-0.33150634122396383,-5.373056430184475,-5.252716023735521,SPY,-2.4692031587900667,-5.257814740360888,,7
NVDA,B,2026-06-15,mega,us,212.21253967285156,195.52122497558594,-7.8653762510910425,-2.4692031587900667,-5.396173092300976,-5.576173092300976,0.18,1.8413986258484416,-5.845953685556616,-0.33150634122396383,-5.514447344332652,-5.235518364366764,SPY,-2.4692031587900667,-5.396173092300976,,7
META,B,2026-06-15,mega,us,593.47998046875,542.8699951171875,-8.527665130606271,-2.4692031587900667,-6.058461971816205,-6.238461971816204,0.18,1.65922463854872,-6.522758726898703,-0.33150634122396383,-6.191252385674739,-5.9727152377047625,SPY,-2.4692031587900667,-6.058461971816205,,7
AAPL,H,2026-06-15,mega,us,296.1645812988281,274.91290283203125,-7.175631324177171,-2.4692031587900667,-4.706428165387105,-4.8864281653871044,0.18,0.7626462109125205,-5.141090810436122,-0.33150634122396383,-4.809584469212158,-4.888268755408193,SPY,-2.4692031587900667,-4.706428165387105,,7
DTE.DE,B,2026-06-15,large,eu,27.850000381469727,26.440000534057617,-5.062836007536527,-2.4692031587900667,-2.59363284874646,-2.8336328487464604,0.24,-0.05869296652238275,-5.06283600753653,-0.5533155081047236,-4.509520499431806,-5.095311736130036,EXS1.DE,-0.6088650664485693,-4.453970941087958,,7
LLY,B,2026-06-15,mega,us,1127.7340087890625,1126.0762939453125,-0.14699519840942105,-2.4692031587900667,2.322207960380646,2.1422079603806456,0.18,0.6873656452401327,2.0416001735355183,-0.33150634122396383,2.373106514759482,2.269466243672124,SPY,-2.4692031587900667,2.322207960380646,,7
BAC,H,2026-06-15,large,us,55.58639144897461,57.894615173339844,4.152497876182632,-2.4692031587900667,6.621701034972698,6.381701034972698,0.24,0.5884052318261257,6.43533027848493,-0.33150634122396383,6.766836619708894,6.630390344044647,SPY,-2.4692031587900667,6.621701034972698,,7
BTC-USD,S,2026-06-15,mega,us,66289.5,63952.10546875,-3.5260403702698015,-2.4692031587900667,-1.0568372114797349,-3.056837211479735,2.0,1.1112309037273498,-2.3450858831858934,-1.2753117439403217,-1.0697741392455717,-0.9279200614329872,SPY,-2.4692031587900667,-1.0568372114797349,,7
ETH-USD,S,2026-06-15,large,us,1794.961181640625,1726.5108642578125,-3.8134706244871404,-2.4692031587900667,-1.3442674656970737,-3.3442674656970737,2.0,1.6410548416985835,-2.636034621041139,-1.2753117439403217,-1.3607228771008173,-0.54317810897281,SPY,-2.4692031587900667,-1.3442674656970737,,7
MSTR,H,2026-06-15,mid,us,131.13999938964844,85.33000183105469,-34.93213189858363,-2.4692031587900667,-32.46292873979356,-32.82292873979356,0.36,2.77830004381771,-33.50596314910986,-0.33150634122396383,-33.174456807885896,-32.58493906676147,SPY,-2.4692031587900667,-32.46292873979356,,7
TSM,B,2026-06-15,mega,us,441.3999938964844,434.989990234375,-1.4521984029779182,-2.4692031587900667,1.0170047558121484,0.8370047558121485,0.18,2.2053759546393934,0.7077893001377955,-0.33150634122396383,1.0392956413617593,1.4388854138836074,SPY,-2.4692031587900667,1.0170047558121484,,7
