horizon,group_type,group,count,hit_rate,hit_rate_ci_lo,hit_rate_ci_hi,alpha_hit_rate,alpha_hit_rate_ci_lo,alpha_hit_rate_ci_hi,mean_return,mean_return_ci_lo,mean_return_ci_hi,median_return,avg_alpha,net_avg_alpha,net_alpha_hit_rate,net_alpha_hit_rate_ci_lo,net_alpha_hit_rate_ci_hi,avg_beta,avg_alpha_eur,avg_beta_adj_alpha_eur,low_sample,proven_signal
t7,by_signal,B,1282,56.4,54.1,58.7,53.2,50.9,55.5,1.12,0.86,1.37,0.8,0.57,0.34,51.2,48.9,53.5,1.08,0.61,0.52,False,True
t7,by_signal,H,1006,64.1,61.5,66.7,29.1,26.7,31.4,1.32,0.91,1.73,0.99,0.4,0.11,28.8,26.4,31.1,1.15,0.51,0.19,False,True
t7,by_signal,S,263,50.2,45.2,55.5,55.6,50.2,60.7,0.01,-0.58,0.59,-0.12,-0.54,-1.08,60.3,55.6,65.4,0.43,-0.45,-0.3,False,False
t7,by_tier,large,717,60.7,57.6,63.7,54.9,51.9,57.9,1.63,1.26,2.04,1.38,0.89,0.61,53.3,50.4,56.3,1.16,0.94,1.13,False,True
t7,by_tier,mega,1127,57.1,54.7,59.5,52.6,50.4,55.1,1.33,1.0,1.67,1.03,0.56,0.35,50.8,48.4,53.4,1.34,0.66,0.23,False,True
t7,by_tier,mid,538,70.3,66.9,73.6,34.8,31.5,38.4,0.35,-0.07,0.78,-0.15,-0.27,-0.63,32.0,28.7,35.2,0.45,-0.19,-0.18,False,True
t7,by_tier,small,169,70.4,64.5,76.3,29.4,23.3,35.0,-0.55,-1.34,0.25,-0.05,-0.78,-1.38,32.5,26.4,38.7,0.79,-0.88,-0.96,False,True
t7,by_region,eu,442,80.3,77.4,83.5,48.1,44.2,52.2,0.35,0.04,0.63,0.3,-0.19,-0.52,46.3,42.4,50.1,0.58,-0.04,-0.1,False,True
t7,by_region,hk,256,59.0,53.9,64.1,52.4,47.2,57.6,1.93,1.31,2.58,0.96,0.88,0.64,51.2,46.0,56.4,0.14,0.88,-1.75,False,True
t7,by_region,us,1853,56.1,54.3,58.1,52.2,50.4,54.1,1.14,0.88,1.41,0.93,0.46,0.18,50.2,48.3,52.1,1.21,0.52,0.52,False,True
t7,signal_x_tier,large_B,411,67.2,63.3,70.8,61.3,57.2,65.2,1.78,1.36,2.21,2.09,1.0,0.76,59.6,55.5,63.7,1.11,1.02,1.3,False,True
t7,signal_x_tier,mega_B,696,53.3,50.3,56.3,51.0,47.8,54.2,1.12,0.75,1.5,0.49,0.59,0.41,49.7,46.5,52.7,1.29,0.66,0.39,False,True
t7,signal_x_tier,mid_B,145,46.2,39.3,53.1,44.1,37.2,51.0,-0.18,-0.66,0.28,-0.39,-0.46,-0.82,40.0,33.1,46.9,0.31,-0.43,-0.35,False,False
t7,signal_x_tier,small_B,30,30.0,16.7,43.3,36.7,23.3,50.0,-1.57,-2.76,-0.39,-1.7,-1.0,-1.6,23.3,10.0,36.7,0.49,-1.39,-1.37,False,True
t7,signal_x_tier,large_H,267,69.7,65.2,74.2,36.7,31.8,41.6,1.69,0.92,2.46,0.73,0.95,0.71,34.8,30.0,39.7,1.32,1.06,1.22,False,True
t7,signal_x_tier,mega_H,386,60.4,56.2,64.5,26.4,22.8,30.1,2.03,1.37,2.69,1.95,0.87,0.69,27.2,23.6,31.1,1.48,1.04,0.13,False,True
t7,signal_x_tier,mid_H,214,61.2,56.1,66.4,26.3,21.6,31.5,0.65,-0.29,1.59,0.38,-0.43,-0.79,23.9,19.2,29.1,0.71,-0.37,-0.37,False,True
t7,signal_x_tier,small_H,139,68.3,61.9,74.8,26.3,20.3,32.3,-0.33,-1.31,0.66,0.48,-0.73,-1.33,29.3,22.6,36.1,0.85,-0.76,-0.87,False,True
t7,signal_x_tier,large_S,39,56.4,43.6,69.2,66.7,51.5,78.8,-0.25,-2.04,1.66,-1.55,-1.04,-2.14,66.7,54.5,81.8,0.52,-1.11,-1.38,False,False
t7,signal_x_tier,mega_S,45,46.7,35.6,57.8,55.6,44.4,66.7,-1.41,-3.16,0.32,0.6,-2.66,-3.49,62.2,51.0,73.3,1.2,-2.67,-1.53,False,False
t7,signal_x_tier,mid_S,179,49.7,43.6,55.9,53.6,47.5,59.8,0.43,-0.16,1.05,0.1,0.09,-0.27,58.7,52.5,64.2,0.26,0.22,0.16,False,False
t30,by_signal,B,717,69.9,66.5,74.3,56.0,52.8,59.1,4.15,3.48,5.09,4.06,1.12,0.9,55.0,51.8,58.1,1.04,1.45,2.48,False,True
t30,by_signal,H,632,30.7,27.9,35.2,15.2,12.8,17.4,3.74,2.66,4.89,3.96,0.53,0.28,15.3,13.1,17.7,1.15,1.24,-0.48,False,True
t30,by_signal,S,122,39.3,21.7,54.2,45.1,37.7,52.5,3.47,0.65,7.48,5.1,0.42,-0.33,48.4,40.2,55.7,0.93,0.45,1.47,False,False
t30,by_tier,large,486,79.4,76.2,82.9,67.0,63.5,70.5,5.36,4.25,6.21,5.98,2.22,1.92,65.8,62.1,69.3,0.77,2.56,3.46,False,True
t30,by_tier,mega,733,63.7,61.1,68.1,52.8,49.8,55.8,3.68,3.19,4.61,3.48,0.54,0.32,51.6,48.4,54.7,1.49,1.15,-0.04,False,True
t30,by_tier,mid,219,34.7,31.9,39.5,15.1,11.4,19.2,3.97,1.75,7.9,1.44,0.93,0.57,14.6,11.0,18.7,0.67,1.26,1.78,False,True
t30,by_tier,small,33,0.0,0.0,0.0,0.0,0.0,0.0,-12.28,-18.37,-3.95,-16.15,-15.02,-15.62,0.0,0.0,0.0,1.22,-14.58,-14.97,False,True
t30,by_region,eu,233,46.4,34.8,54.8,32.8,27.6,37.9,5.01,4.01,6.31,4.88,2.11,1.83,34.1,29.3,39.2,0.88,3.19,3.34,False,False
t30,by_region,hk,172,65.1,48.0,87.3,52.3,45.9,58.7,4.28,-0.38,10.69,3.76,0.91,0.69,51.7,45.3,58.1,0.21,0.89,-12.0,False,False
t30,by_region,us,1066,30.1,28.1,32.4,13.2,11.7,14.9,3.62,3.04,4.31,3.79,0.5,0.22,13.3,11.7,15.0,1.14,0.92,0.8,False,True
t30,signal_x_tier,large_B,289,76.1,71.5,79.6,67.4,62.5,71.9,4.54,3.58,5.44,6.12,1.41,1.17,67.0,62.5,71.2,0.69,1.68,2.95,False,True
t30,signal_x_tier,mega_B,382,65.4,61.7,73.1,49.2,45.0,53.4,4.08,3.04,6.02,2.65,1.08,0.9,48.2,43.7,52.4,1.41,1.45,2.33,False,True
t30,signal_x_tier,mid_B,45,66.7,57.8,91.1,40.0,28.9,51.2,1.63,-0.27,6.44,1.87,-1.18,-1.54,35.6,24.4,46.7,0.4,-0.7,0.47,False,True
t30,signal_x_tier,small_B,1,100.0,100.0,100.0,100.0,100.0,100.0,32.56,32.56,32.56,32.56,35.67,35.07,100.0,100.0,100.0,0.63,35.34,34.84,True,False
t30,signal_x_tier,large_H,180,42.8,40.0,51.7,25.0,20.0,30.0,5.89,3.62,7.64,4.8,2.74,2.5,26.7,21.1,32.2,0.77,3.22,3.55,False,False
t30,signal_x_tier,mega_H,308,25.3,17.0,32.7,12.3,9.4,15.6,3.16,1.48,5.11,5.05,-0.13,-0.31,12.3,9.4,15.6,1.66,0.86,-4.3,False,True
t30,signal_x_tier,mid_H,112,34.8,28.9,41.1,11.6,7.1,17.0,6.87,4.32,13.54,1.71,3.66,3.3,9.8,5.4,14.3,0.84,4.06,4.46,False,True
t30,signal_x_tier,small_H,32,0.0,0.0,0.0,0.0,0.0,0.0,-13.68,-18.89,-3.03,-16.41,-16.61,-17.21,0.0,0.0,0.0,1.24,-16.14,-16.53,False,True
t30,signal_x_tier,large_S,17,0.0,0.0,0.0,0.0,0.0,0.0,13.58,11.12,16.21,12.71,10.47,8.57,0.0,0.0,0.0,1.64,10.53,8.57,True,False
t30,signal_x_tier,mega_S,43,34.9,26.2,45.2,41.9,30.2,55.8,3.86,-0.15,5.6,5.17,0.59,-0.27,51.2,39.5,62.8,1.24,0.57,3.9,False,True
t30,signal_x_tier,mid_S,62,53.2,28.3,73.3,59.7,50.0,69.4,0.44,-4.44,6.51,-0.23,-2.46,-2.82,59.7,48.4,69.4,0.57,-2.39,-1.85,False,False
t60,by_signal,B,103,68.0,63.7,69.7,58.0,50.0,67.0,3.33,1.52,4.64,3.43,1.51,1.29,56.8,47.7,65.9,1.03,1.91,2.81,False,True
t60,by_signal,H,58,31.0,20.7,41.4,12.8,4.3,21.3,2.44,0.29,4.59,4.13,0.87,0.65,12.8,6.4,21.3,1.33,1.57,-1.47,False,True
t60,by_signal,S,39,17.9,7.7,28.2,46.7,26.7,66.7,20.98,14.6,27.02,22.49,-4.2,-5.44,53.3,33.3,73.3,1.17,-4.2,-4.16,False,True
t60,by_tier,large,93,76.3,69.9,81.7,58.3,46.7,68.3,8.23,1.8,9.39,5.76,0.21,-0.15,58.3,48.3,68.3,0.99,0.34,1.05,False,True
t60,by_tier,mega,82,67.1,59.3,70.4,55.7,45.7,65.7,6.38,2.78,6.35,5.16,1.46,1.17,54.3,44.3,64.3,1.35,2.22,0.62,False,True
t60,by_tier,mid,24,54.2,37.5,70.8,57.9,42.1,78.9,-0.79,-3.9,2.36,1.65,-1.87,-2.23,52.6,31.6,68.4,1.17,-1.56,-1.87,True,False
