section,item,value,detail,coverage,sample_size
metric_predictiveness,upside,0.197,moderate,99.9,716
metric_predictiveness,buy_percentage,-0.138,weak,99.9,716
metric_predictiveness,exret,0.17,moderate,99.9,716
metric_predictiveness,roe,0.076,weak,96.0,688
metric_predictiveness,debt_equity,-0.018,weak,83.8,601
metric_predictiveness,pct_52w_high,-0.143,weak,99.9,716
metric_predictiveness,pe_forward,0.051,weak,99.9,716
metric_predictiveness,pe_trailing,-0.147,weak,99.9,716
metric_predictiveness,sentiment_score,,insufficient data,0.0,0
sell_trigger_effectiveness,soft_trigger,54.2,"fires=24, avg_alpha=-3.2%",,24
sell_trigger_effectiveness,momentum_based_crypto,18.8,"fires=32, avg_alpha=5.91%",,32
threshold_suggestion,us_mega_BUY_min_upside,48.7,"current=10, improvement=+48.4%, p=2.9103830456733704e-11, FDR-significant",,334
threshold_suggestion,us_mega_BUY_min_buy_percentage,92.0,"current=80, improvement=+5.8%, p=0.07122667279718264, not-significant",,334
threshold_suggestion,us_mega_BUY_min_roe,114.3,"current=8.0, improvement=+26.1%, p=0.0012816039961762726, FDR-significant",,329
threshold_suggestion,us_large_BUY_min_roe,43.4,"current=14.0, improvement=+8.7%, p=0.006330167901207107, FDR-significant",,98
threshold_suggestion,us_mid_SELL_max_upside,34.4,"current=7.5, improvement=+91.4%, p=2.0884908735752106e-07, FDR-significant",,59
threshold_suggestion,hk_large_BUY_min_upside,54.7,"current=18, improvement=+13.0%, p=0.04007165622897446, FDR-significant",,82
regime_performance,risk_on_B,67.8,"mean_return=3.79%, alpha=1.24, alpha_hit_rate=55.3",,478
regime_performance,risk_on_S,42.2,"mean_return=2.67%, alpha=0.08, alpha_hit_rate=47.0",,83
regime_performance,neutral_B,74.1,"mean_return=4.87%, alpha=0.86, alpha_hit_rate=57.3",,239
regime_performance,neutral_S,33.3,"mean_return=5.18%, alpha=1.14, alpha_hit_rate=41.0",,39
