TKR,NAME,CAP,PRC,TGT,UP%,#T,%B,#A,AM,A,EXR,B,52W,2H,PET,PEF,P/S,PEG,DV,SI,EG,PP,ROE,DE,FCF,ERN,SZ,BS,SIGNAL_TRACK,SIGNAL_HORIZON
8306.T,MITSUBISHI UFJ,41.2T,3661.00,3657.27,-0.1%,11.0,81%,11.0,0,A,-0.1%,0.3,96,Y,15.7,24.1,1.5,1.9,2.63%,--,8.4,67.54,9.5,--,--,06/30,10k,H,--,30
9984.T,SOFTBANK GROUP,39.6T,6947.00,7851.29,13.0%,19,78%,19,+1,A,10.2%,1.0,77,Y,8.0,23.5,1.5,1244.8,0.17%,--,--,83.56,32.0,130.2,-5.5%,12/31,11.5k,H,value,90
7203.T,TOYOTA MOTOR C,35.4T,2990.00,3698.56,23.7%,19.0,73%,19.0,0,A,17.3%,0.3,75,N,8.5,9.2,0.4,--,3.37%,--,58.5,4.48,12.4,115.0,-10.2%,06/30,13k,H,value,90
TM,TOYOTA MOTOR C,35.2T,2968.50,3698.56,24.6%,19,73%,19,0,A,18.0%,0.3,74,N,8.4,9.2,0.4,--,3.37%,--,58.5,-4.66,12.4,115.0,-10.2%,06/30,13k,H,value,90
285A.T,KIOXIA HOLDING,31.5T,57570.00,110943.75,92.7%,16.0,93%,16.0,+1,A,86.2%,--,51,Y,57.0,--,--,0.3,--,--,--,1714.17,87.1,34.8,2.7%,12/31,15k,B,value,90
8316.T,SUMITOMO MITSU,26.4T,6947.00,7271.67,4.7%,12,83%,12,0,A,3.9%,0.4,96,Y,15.6,21.9,1.4,2.2,1.95%,--,-9.9,78.21,8.6,--,--,06/30,10.5k,B,momentum,7
8035.T,TOKYO ELECTRON,24.4T,53650.00,75390.91,40.5%,22.0,81%,22.0,+1,A,32.8%,1.3,66,Y,42.8,41.9,1.3,1.5,1.39%,--,--,160.21,30.9,--,1.2%,06/30,15k,B,value,90
6857.T,ADVANTEST CORP,24.3T,33690.00,41361.91,22.8%,21.0,90%,21.0,+3,A,20.5%,1.2,87,Y,65.6,141.7,4.3,1.6,0.18%,--,--,166.12,56.9,10.4,1.4%,07/29,13.5k,H,value,90
6501.T,"HITACHI, LTD.",23.4T,5224.00,6446.15,23.4%,13.0,84%,13.0,-1,A,19.7%,0.5,87,Y,29.5,29.3,1.0,--,1.08%,--,--,32.92,--,15.6,--,06/30,13.5k,B,value,90
6098.T,RECRUIT HOLDIN,21.4T,15425.00,17193.75,11.5%,16,93%,16,+1,A,10.7%,0.9,85,Y,44.3,51.0,3.3,1.5,0.17%,--,--,83.65,36.2,10.0,2.3%,06/30,12k,B,value+momentum,45
SONY,SONY GROUP COR,21.3T,3654.00,4847.73,32.7%,23.0,91%,23.0,0,A,29.7%,0.8,77,Y,19.6,19.9,0.6,1.6,0.96%,--,9.9,-18.04,13.2,21.3,15.7%,06/30,15k,B,value,90
6758.T,SONY GROUP COR,21.2T,3632.00,4847.73,33.5%,23.0,91%,23.0,0,A,30.5%,0.8,76,Y,19.5,19.8,0.6,1.6,0.96%,--,9.9,-13.28,13.2,21.3,15.8%,06/30,15k,B,value,90
8411.T,MIZUHO FINANCI,21.0T,8667.00,8919.09,2.9%,11.0,72%,11.0,0,A,2.1%,0.4,97,Y,15.7,25.7,1.6,1.6,1.74%,--,5.9,84.7,12.5,--,--,06/30,10.5k,H,value,90
9983.T,FAST RETAILING,20.6T,67190.00,86011.77,28.0%,17.0,76%,17.0,+2,A,21.3%,0.5,76,N,43.1,49.1,2.0,2.5,0.93%,--,--,40.17,22.5,28.4,1.7%,11/30,13.5k,H,value,90
6861.T,KEYENCE CORPOR,18.7T,77280.00,97366.66,26.0%,15.0,80%,15.0,+1,A,20.8%,1.0,88,Y,43.2,41.4,1.2,2.3,0.72%,--,--,41.06,--,--,--,06/30,13.5k,B,value+momentum,45
8058.T,MITSUBISHI COR,18.3T,4998.00,5264.67,5.3%,13,38%,13,0,A,2.0%,0.5,83,Y,23.8,23.6,0.8,1.5,2.54%,--,--,48.07,10.1,62.6,0.7%,06/30,10.5k,S,--,30
8001.T,ITOCHU CORPORA,16.0T,2294.50,2451.82,6.9%,11,90%,11,0,A,6.2%,0.6,99,Y,17.9,3.5,0.1,2.7,1.93%,--,--,35.43,14.1,72.9,2.1%,06/30,11k,B,momentum,7
8766.T,TOKIO MARINE H,14.8T,7772.00,8601.00,10.7%,12.0,75%,12.0,-1,A,8.0%,--,92,Y,27.8,15.8,1.0,1.7,1.66%,--,--,24.37,--,9.3,--,06/30,11.5k,H,value,90
8031.T,"MITSUI & CO., ",14.6T,5140.00,6171.67,20.1%,13.0,61%,13.0,0,A,12.2%,0.4,77,N,17.7,17.5,0.6,2.2,2.75%,--,--,43.69,11.4,63.7,-5.0%,06/30,12k,H,value,90
9432.T,"NTT, INC.",14.0T,172.00,174.00,1.2%,14.0,42%,14.0,0,A,0.5%,-0.2,98,Y,13.6,11.8,0.8,3.7,3.14%,--,--,12.44,10.7,168.4,80.6%,06/30,10k,S,--,30
6981.T,MURATA MANUFAC,12.9T,7120.00,10423.53,46.4%,17.0,94%,17.0,+1,A,43.6%,1.2,55,Y,55.6,30.0,0.9,1.4,1.00%,--,16.4,195.66,10.1,2.0,0.5%,09/30,15k,B,value,90
7011.T,MITSUBISHI HEA,12.7T,3791.00,5393.95,42.3%,15.0,86%,15.0,0,A,36.4%,0.4,73,N,54.1,40.9,1.4,1.6,0.81%,--,--,2.02,14.7,26.4,8.3%,06/30,15k,B,value,90
2914.T,JAPAN TOBACCO ,11.8T,6647.00,7232.08,8.8%,13.0,69%,13.0,+2,A,6.1%,0.1,92,Y,20.0,22.1,0.9,1.1,4.08%,--,--,47.22,14.3,37.9,2.2%,03/31,11k,H,value,90
OTP.BD,OTP BANK NYRT.,11.6T,45680.00,47398.85,3.8%,13.0,61%,13.0,0,A,2.3%,0.7,97,Y,10.5,13.1,0.8,--,2.51%,--,-7.5,--,20.7,--,--,06/30,10.5k,H,value,90
9434.T,SOFTBANK CORP.,11.5T,241.30,259.87,7.7%,15,80%,15,+3,A,6.2%,0.1,99,Y,21.4,20.8,1.4,2.8,3.65%,--,--,10.85,16.7,160.0,10.9%,06/30,11k,B,momentum,7
