symbol,instrumentDisplayName,instrumentId,numPositions,totalInvestmentPct,avgOpenRate,totalNetProfit,totalNetProfitPct,earliestOpenTimestamp,isBuy,leverage,instrumentTypeId,exchangeId,exchangeName,stocksIndustryId,isInternalInstrument
MSFT,Microsoft,1004,21,9.140922,451.1857,-58.83,-6.436,2023-04-24T13:30:04.057Z,True,1,5,4,NASDAQ,8,False
GOOG,Alphabet,1002,5,7.712817,295.932,147.817,19.165,2025-11-04T19:20:44.977Z,True,1,5,4,NASDAQ,8,False
AMZN,Amazon.com Inc,1005,22,6.73177,207.9578,1183.872,175.863,2023-04-24T13:30:44.163Z,True,1,5,4,NASDAQ,7,False
LYXGRE.DE,Amundi MSCI Greece UCITS ETF,10651,12,5.065266,2.0808,417.228,82.37,2024-06-14T13:01:27.39Z,True,1,6,38,Xetra,4,False
NVDA,NVIDIA Corporation,1137,19,4.774251,147.3514,3243.202,679.311,2023-04-24T13:30:35.503Z,True,1,5,4,NASDAQ,8,False
AAPL,Apple,1001,9,4.308488,247.8052,161.804,37.555,2025-07-23T14:36:35.54Z,True,1,5,4,NASDAQ,3,False
GLD,SPDR Gold,3025,5,4.075443,414.741,22.256,5.461,2025-10-24T15:38:00.193Z,True,1,6,5,NASDAQ,4,False
META,Meta Platforms Inc,1003,10,3.973096,694.7317,-149.19,-37.55,2025-07-09T13:39:09.587Z,True,1,5,4,NASDAQ,8,False
DTE.DE,Deutsche Telekom AG,1207,2,2.328936,29.61,-10.006,-4.296,2026-02-20T11:56:13.1Z,True,1,5,6,Xetra,8,False
0700.HK,Tencent,2339,6,2.328936,529.71,-61.072,-26.223,2025-03-31T07:12:57.88Z,True,1,5,21,HKEX,7,False
BAC,Bank of America Corp,1011,2,2.324664,54.739,-4.533,-1.95,2026-01-12T08:39:48.937Z,True,1,5,5,NASDAQ,4,False
BTC-USD,Bitcoin,100000,12,2.095727,108806.0934,-309.528,-147.695,2025-04-28T07:53:49.04Z,True,1,10,8,eToro,,False
ETH-USD,Ethereum,100001,19,2.004794,3919.3072,-550.871,-274.777,2025-06-21T21:11:22.21Z,True,1,10,8,eToro,,False
MSTR,Strategy Inc,6473,3,1.746702,290.22,-105.14,-60.193,2025-09-25T10:54:40.683Z,True,1,5,4,NASDAQ,8,False
TSM,Taiwan Semiconductor Manufacturing Co Ltd - ADR,4481,2,1.746702,292.3134,87.953,50.354,2025-10-16T18:50:20.063Z,True,1,5,5,NASDAQ,8,False
LLY,Eli Lilly & Co,1567,2,1.746702,1003.7867,1.45,0.83,2026-02-06T18:53:53.847Z,True,1,5,5,NASDAQ,5,False
RHM.DE,Rheinmetall AG,2587,1,1.164468,1823.0,-21.232,-18.233,2026-01-23T15:22:37.083Z,True,1,5,6,Xetra,3,False
2333.HK,Great Wall Motor,2331,1,1.164468,14.04,-14.85,-12.753,2026-04-13T02:01:30.597Z,True,1,5,21,HKEX,3,False
V,Visa,1046,1,1.164468,318.6365,-0.011,-0.01,2026-04-21T10:04:24.103Z,True,1,5,5,NASDAQ,4,False
MELI,MercadoLibre Inc,4108,1,1.164468,1900.0,-3.395,-2.915,2026-04-21T10:03:29.023Z,True,1,5,4,NASDAQ,7,False
NOVO-B.CO,Novo Nordisk B A/S,2260,1,1.164468,254.55,15.152,13.012,2026-02-23T14:04:53.623Z,True,1,5,16,Nasdaq Nordic,5,False
NKE,NIKE,1042,1,1.164468,45.6047,-3.804,-3.267,2026-04-15T12:49:18.557Z,True,1,5,5,NASDAQ,3,False
PRU.L,Prudential,2061,1,1.164468,1133.5,4.453,3.824,2026-02-27T15:37:55.92Z,True,1,5,7,LSE PLC,4,False
PLTR,Palantir Technologies Inc.,7991,1,1.164468,155.79,-14.179,-12.177,2026-03-24T21:39:50.64Z,True,1,5,4,NASDAQ,8,False
VST,Vistra Corp,4363,1,1.164468,156.4858,1.524,1.308,2026-04-21T15:12:08.387Z,True,1,5,5,NASDAQ,9,False
6758.T,Sony Group Corp.-ADR,1044,1,1.164468,22.9637,-9.684,-8.316,2026-02-27T15:32:16.893Z,True,1,5,5,NASDAQ,3,False
SCHW,Charles Schwab Corp,1802,1,1.164468,97.387,-5.532,-4.75,2026-02-20T13:23:19.047Z,True,1,5,5,NASDAQ,4,False
NU,Nu Holdings Ltd.,8597,1,1.164468,15.4,-6.039,-5.186,2026-02-26T19:04:23.857Z,True,1,5,5,NASDAQ,4,False
JPM,JPMorgan Chase & Co,1023,1,1.164442,325.1427,-3.525,-3.028,2026-01-12T08:39:20.657Z,True,1,5,5,NASDAQ,4,False
UVXY,ProShares Ultra VIX Short-Term Futures ETF,3246,1,1.164432,36.0389,0.53,0.455,2026-05-01T15:28:15.663Z,True,1,6,20,eToro,4,False
2899.HK,Zijin Mining,2323,2,1.105922,36.4812,3.898,3.525,2026-04-10T01:33:33.947Z,True,1,5,21,HKEX,1,False
AMD,Advanced Micro Devices Inc,1832,1,0.684739,196.1774,111.854,163.353,2026-03-17T20:52:56.463Z,True,1,5,4,NASDAQ,8,False
