symbol,shares,cost,date
OIL,23.0,83.18931,2025-03-26
META,346.0,97.932235,2025-03-26
MSFT,811.0,103.144095,2025-03-26
AMZN,645.0,86.898886,2025-03-26
UNH,75.0,105.5445,2025-03-26
C,41.0,95.464,2025-03-26
ADSK,38.0,102.35700000000001,2025-03-26
NVDA,915.0,90.689099,2025-03-26
BABA,40.0,99.529,2025-03-26
IFX.DE,37.0,104.84100000000001,2025-03-26
AC.PA,39.0,101.045,2025-03-26
FCC.MC,39.0,98.634569,2025-03-26
SCYR.MC,40.0,98.168,2025-03-26
LOW,40.0,97.886,2025-03-26
COP,40.0,99.031,2025-03-26
RGA,42.0,93.441,2025-03-26
IQV,35.0,110.796,2025-03-26
LRCX,39.0,100.91799999999999,2025-03-26
PRU.L,47.0,80.281,2025-03-26
FLTR.L,41.0,96.136,2025-03-26
SWR.L,38.0,103.13600000000001,2025-03-26
DSV.CO,39.0,101.423,2025-03-26
0992.HK,40.0,98.825,2025-03-26
2318.HK,40.0,99.639,2025-03-26
2899.HK,48.0,76.852299,2025-03-26
2883.HK,42.0,93.96100000000001,2025-03-26
1299.HK,40.0,97.64699999999999,2025-03-26
0390.HK,39.0,101.253329,2025-03-26
0001.HK,38.0,102.636,2025-03-26
0027.HK,41.0,95.151,2025-03-26
0257.HK,42.0,93.30000000000001,2025-03-26
0285.HK,40.0,99.653,2025-03-26
0857.HK,40.0,97.70299999999999,2025-03-26
1114.HK,39.0,100.01899999999999,2025-03-26
1177.HK,42.0,92.846,2025-03-26
1928.HK,37.0,105.35499800000001,2025-03-26
2313.HK,42.0,92.53899999999999,2025-03-26
2382.HK,39.0,100.418,2025-03-26
2386.HK,37.0,104.858035,2025-03-26
3690.HK,39.0,101.47699999999999,2025-03-26
3908.HK,39.0,101.61800000000001,2025-03-26
3993.HK,42.0,92.60300000000001,2025-03-26
6060.HK,39.0,100.017,2025-03-26
0083.HK,40.0,99.072,2025-03-26
0669.HK,37.0,106.25800000000001,2025-03-26
9618.HK,41.0,97.055,2025-03-26
GXI.DE,38.0,103.67200000000001,2025-03-26
SHL.DE,38.0,103.707,2025-03-26
COA.L,39.0,102.13117,2025-03-26
IWG.L,38.0,104.09132699999999,2025-03-26
INDV.L,39.0,102.18199999999999,2025-03-26
ICOS.MI,36.0,108.17849100000001,2025-03-26
GTT.PA,40.0,98.578,2025-03-26
LSS.PA,38.0,103.27919699999998,2025-03-26
XFAB.PA,35.0,111.68299999999999,2025-03-26
STM.DE,40.0,99.439,2025-03-26
GFT.DE,45.0,86.900738,2025-03-26
HABA.DE,38.0,102.929029,2025-03-26
CIE.MC,40.0,99.42999999999999,2025-03-26
COO,40.0,97.488,2025-03-26
AVGO,93.0,105.7404,2025-03-26
FGR.PA,41.0,96.569,2025-03-26
SK.PA,41.0,95.586,2025-03-26
ACX.MC,40.0,99.636,2025-03-26
ALM.MC,40.0,96.730879,2025-03-26
ENC.MC,39.0,100.853017,2025-03-26
AKE.PA,35.0,111.605,2025-03-26
RUI.PA,41.0,97.014,2025-03-26
GOOGL,348.0,102.79581200000001,2025-03-26
VTEX,40.0,97.354641,2025-03-26
CLH,37.0,106.79799999999999,2025-03-26
OPRA,39.0,100.79100000000001,2025-03-26
SPXC,39.0,100.044,2025-03-26
CSTM,37.0,106.201667,2025-03-26
TABREED.AE,38.0,103.95700000000001,2025-03-26
SPINNEYS.AE,37.0,105.095,2025-03-26
QCRH,38.0,102.874,2025-03-26
BFST,39.0,99.761,2025-03-26
OBK,39.0,99.042332,2025-03-26
DCO,41.0,95.342,2025-03-26
LYXGRE.DE,761.0,76.860314,2025-03-26
DIE.BR,42.0,92.49499999999999,2025-03-26
AZE.BR,37.0,105.2,2025-03-26
COR.LS,39.0,100.699847,2025-03-26
QDT.PA,37.0,106.45623099999999,2025-03-26
GLO.PA,45.0,85.271799,2025-03-26
SCHP.PA,38.0,103.24812999999999,2025-03-26
GBT.PA,41.0,96.40100000000001,2025-03-26
VAC.PA,39.0,100.45962,2025-03-26
BTC-USD,103.0,113.775446,2025-03-26
