#,TICKER,COMPANY,CAP,PRICE,TARGET,UPSIDE,# T,% BUY,# A,A,EXRET,BETA,PET,PEF,PEG,DIV %,SI,EARNINGS,% SI,SI_value
1,AAPL,APPLE INC.,3.24T,215.9,252.6,17.0%,39,79%,14,E,13.4%,1.2,34.2,26.0,2.0,0.46%,0.9%,2025-01-29,0.9%,0.9
2,ABNB,"AIRBNB, INC.",78.6B,126.5,158.0,24.9%,35,43%,14,E,10.7%,1.1,30.8,28.1,1.9,--,3.4%,2025-02-12,3.4%,3.4
3,ADBE,ADOBE INC.,171B,395.0,526.8,33.4%,36,62%,16,E,20.8%,1.4,26.1,19.2,1.3,--,1.8%,2025-03-11,1.8%,1.8
4,ADI,ANALOG DEVICES,102B,206.6,260.6,26.1%,28,62%,8,E,16.3%,1.1,66.0,27.4,0.9,1.89%,1.6%,2025-02-18,1.6%,1.6
5,ADSK,"AUTODESK, INC.",57.3B,269.2,335.3,24.6%,30,82%,11,E,20.1%,1.5,52.6,29.3,1.6,--,1.3%,2025-02-26,1.3%,1.3
6,AMD,ADVANCED MICRO,173B,107.0,146.3,36.8%,44,77%,13,E,28.3%,1.7,107.0,21.0,0.4,--,3.5%,2025-02-03,3.5%,3.5
7,ANET,ARISTA NETWORK,105B,84.0,116.2,38.2%,23,60%,10,E,22.9%,1.1,37.7,8.6,2.3,--,1.5%,2025-02-17,1.5%,1.5
8,APH,AMPHENOL CORPO,81.3B,67.2,84.1,25.3%,17,80%,5,E,20.2%,1.3,35.0,31.1,2.4,0.98%,1.4%,2025-01-21,1.4%,1.4
9,BAC,BANK OF AMERIC,324B,42.7,52.6,23.3%,21,67%,6,E,15.6%,1.3,13.3,11.7,1.6,2.46%,1.2%,2025-01-15,1.2%,1.2
10,BALL,BALL CORPORATI,14.7B,51.9,62.1,19.8%,16,60%,5,E,11.9%,1.0,37.9,14.7,1.4,1.54%,2.9%,2025-02-03,2.9%,2.9
11,BIIB,BIOGEN INC.,20.8B,142.2,201.2,41.5%,30,42%,12,E,17.3%,0.0,12.7,8.5,--,--,2.9%,2025-02-11,2.9%,2.9
12,BKNG,BOOKING HOLDIN,151B,4630.0,5637.0,21.7%,37,77%,13,E,16.7%,1.4,26.8,22.1,1.2,0.84%,2.0%,2025-02-19,2.0%,2.0
13,BLK,"BLACKROCK, INC",148B,958.3,1159.3,21.0%,17,57%,7,E,12.0%,1.3,22.8,19.5,1.7,2.18%,1.1%,2025-01-14,1.1%,1.1
14,BSX,BOSTON SCIENTI,150B,101.7,115.6,13.6%,32,82%,11,E,11.2%,0.8,81.4,36.5,2.0,--,0.9%,2025-02-04,0.9%,0.9
15,CDNS,CADENCE DESIGN,70.9B,258.6,317.8,22.9%,22,71%,7,E,16.4%,1.1,67.2,37.8,2.7,--,1.7%,2025-02-17,1.7%,1.7
16,CFG,CITIZENS FINAN,18.2B,41.6,52.9,27.1%,18,50%,6,E,13.6%,1.3,13.7,10.7,--,4.06%,3.0%,2025-01-16,3.0%,3.0
17,CI,THE CIGNA GROU,87.2B,321.7,362.3,12.6%,24,91%,11,E,11.5%,0.5,26.5,10.3,1.0,1.88%,1.4%,2025-01-29,1.4%,1.4
18,CMG,CHIPOTLE MEXIC,66.4B,49.0,64.5,31.6%,32,73%,11,E,23.0%,1.3,44.2,37.4,2.0,--,1.3%,2025-02-03,1.3%,1.3
19,CRM,"SALESFORCE, IN",268B,279.1,375.4,34.5%,47,44%,18,E,15.3%,1.4,43.8,25.1,1.5,0.57%,1.0%,2025-02-25,1.0%,1.0
20,CSX,CSX CORPORATIO,56.9B,30.0,36.1,20.3%,27,73%,11,E,14.8%,1.2,16.8,14.8,1.8,1.73%,1.4%,2025-01-22,1.4%,1.4
21,CTRA,COTERRA ENERGY,22.3B,29.1,34.7,19.1%,27,83%,6,E,15.9%,0.2,19.4,12.5,--,3.01%,3.2%,2025-02-23,3.2%,3.2
22,CTVA,"CORTEVA, INC.",42.5B,62.0,69.2,11.6%,23,100%,5,E,11.6%,0.8,50.8,19.3,1.4,1.09%,1.8%,2025-02-04,1.8%,1.8
23,DD,DUPONT DE NEMO,32.3B,77.3,97.4,26.1%,18,80%,5,E,20.8%,1.3,43.7,17.6,0.4,2.11%,0.9%,2025-02-10,0.9%,0.9
24,DELL,DELL TECHNOLOG,69.9B,100.1,136.3,36.1%,23,80%,5,E,28.9%,0.9,15.7,10.7,0.8,2.13%,3.8%,2025-02-26,3.8%,3.8
25,DHR,DANAHER CORPOR,150B,210.6,266.9,26.7%,24,62%,8,E,16.7%,0.8,39.7,25.1,2.1,0.61%,1.3%,2025-01-28,1.3%,1.3
26,ECL,ECOLAB INC.,71.4B,252.4,284.9,12.9%,20,83%,6,E,10.7%,1.1,34.2,33.7,2.3,1.02%,0.9%,2025-02-10,0.9%,0.9
27,EFX,EQUIFAX INC.,30.4B,244.9,291.2,18.9%,19,100%,5,E,18.9%,1.6,50.5,26.0,1.0,0.64%,2.5%,2025-02-05,2.5%,2.5
28,EMN,EASTMAN CHEMIC,10.5B,91.1,114.9,26.2%,20,50%,6,E,13.1%,1.5,11.9,10.5,1.5,3.63%,2.9%,2025-01-29,2.9%,2.9
29,FDX,FEDEX CORPORAT,59.9B,248.8,310.0,24.6%,32,64%,33,A,15.7%,1.2,15.9,10.9,0.9,2.23%,1.6%,2025-03-19,1.6%,1.6
30,FI,"FISERV, INC.",124B,222.1,254.5,14.5%,34,100%,9,E,14.5%,0.9,41.3,21.8,1.0,--,1.5%,2025-02-04,1.5%,1.5
31,GEV,GE VERNOVA INC,92.8B,336.2,411.9,22.5%,30,87%,15,E,19.5%,--,60.4,48.7,2.9,0.30%,--,2025-01-21,--,--
32,GOOG,ALPHABET INC.,2.01T,165.9,219.2,32.1%,17,82%,65,A,26.2%,1.0,20.6,18.5,1.2,0.48%,--,2025-02-03,--,--
33,GOOGL,ALPHABET INC.,2.01T,163.7,219.3,34.0%,48,70%,10,E,23.8%,1.0,20.3,18.3,1.2,0.49%,1.1%,2025-02-03,1.1%,1.1
34,INTU,INTUIT INC.,168B,602.7,705.6,17.1%,30,86%,7,E,14.6%,1.3,56.4,27.1,2.1,0.69%,1.8%,2025-02-24,1.8%,1.8
35,IR,INGERSOLL RAND,33.0B,81.9,99.9,22.0%,16,60%,5,E,13.2%,1.5,39.8,23.1,1.2,0.10%,2.4%,2025-02-12,2.4%,2.4
36,JBHT,J.B. HUNT TRAN,14.8B,147.6,184.4,24.9%,24,80%,15,E,19.9%,1.2,26.6,20.6,2.6,1.20%,3.9%,2025-01-15,3.9%,3.9
37,KEY,KEYCORP,18.0B,16.3,20.6,26.6%,21,71%,7,E,19.0%,1.2,--,10.4,1.1,5.11%,2.8%,2025-01-20,2.8%,2.8
38,LHX,L3HARRIS TECHN,39.7B,211.7,257.6,21.7%,22,67%,9,E,14.5%,0.7,26.9,14.7,0.3,2.25%,1.9%,2025-01-29,1.9%,1.9
39,LYB,LYONDELLBASELL,23.6B,72.8,86.0,18.0%,21,57%,7,E,10.3%,1.1,17.6,8.5,1.3,7.28%,2.2%,2025-01-30,2.2%,2.2
